name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Pecannuss frisch;80;0;13;860;0;130;2000;4783;1710;188;30;39;2000;0;3060;10
Schweinefilet im Netz                   ;361;32;92;689;1;220;2422;6355;532;429;2;11;2209;0;414;74
Geflügelwiener Würstchen;78;1;14;78;0,4;81;4920;8053;418;357;3,6;5;20892;0;397;0
Spekulatius aus Mürbeteig;101;164;181;46;0;94;691;2024;251;83;4;11;288;1;3185;24
Mosaik-, Schachbrettpastete und andere;56;4;13;565;1;160;2134;5034;410;374;2;2;23597;0;277;11
Kresse frisch;2190;0;365;150;0;190;1750;2667;180;300;0,9;110;59000;0;700;0
Banane frisch;230;0;38;44;0;57;650;950;230;370;5,5;20;12000;0;270;10
Rumpsteak (Zubereitung Großküche);0;23;23;123;3;188;5973;11423;1298;219;6;13;0;0;484;15
Linsen reif frisch;100;0;17;446;0;258;2230;5763;1570;575;9,1;233;1000;0;1143;223
Oliven;289;0;48;30;0;80;500;850;560;23;2;50;0;0;1990;0
Müsli;58;0;10;424;0;138;2256;4139;864;279;11,6;44;1732;0;3436;31
Kokosflocken aus Fondant;0;0;0;26;0;12;95;245;50;15;3;8;500;0;181;0
Gouda mind. 10% Fett i. Tr.;100;180;197;50;2,2;350;100;6067;400;70;1,7;40;0;0,3;480;0
Gelee einfach;15;0;3;8;0;7;55;72;27;12;0;0;2474;0;168;1
Tomatensoße italienisch (Zubereitung Großküche);691;3;287;73;0;70;1279;1746;303;147;2;17;11292;0;1393;39
Kohlrabi frisch;200;0;33;48;0;46;1800;2133;100;120;2,7;25;64000;0;400;7
Kokosnuss;0;0;0;61;0;8;380;1080;200;60;12;30;2000;0;700;0
Obstsalat süßsauer (Zubereitung Haushalt);121;0;20;39;0;33;283;400;141;112;1,8;11;13203;0;401;4
Kalbfleischsülze;205;1;144;66;1;226;4005;7188;950;382;0;10;41;0;125;10
Salami ungarische Art;9;4;6;745;1;210;2826;6459;486;460;2;2;0;0;382;14
Muffins mit Schokolade;54;61;71;41;0;130;640;2207;370;66;6;9;175;0;1468;10
Graubrot-Weizenmischbrot mit Sonnenblumenkernen;1;0;0;236;0;98;1132;2515;577;167;5,2;41;0;0;2240;23
Aprikose - Marille;1604;0;267;40;0;53;770;953;290;70;1;4;9400;0;500;3
Schinkenroulade;1;4;4;819;2;219;2970;6703;590;499;2;3;11789;0;336;17
Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie);136;6;84;56;0,1;44;725;1092;283;149;1,1;14;8583;0,1;468;38
Brötchen-Roggenbrötchen mit Sonnenblumenkernen;1;0;0;210;0;93;1322;2589;558;164;5;24;0;0;2274;32
Leberwurst einfach;1;1091;1092;220;3;361;2849;5066;709;176;3;16;1165;0;295;25
Bohnen grün tiefgefroren gegart;323;0;59;55;0;86;437;970;405;189;6;19;8711;0;161;27
Vollkornbrot-Mehrkornvollkornbrot;4;0;1;111;0;100;1478;2678;534;190;5;34;0;0;946;30
Kalbfleisch-Pastete;102;23;40;246;1;216;3503;6870;834;389;1;9;11;0;265;16
Hausmacher Blutwurst Konserve;16;5;8;74;1;41;479;3296;135;119;1;3;65;0;185;13
Salzstangen;0;0;0;10;0;40;700;2200;0;0;0;0;0;0;400;5
Mozzarella;85,8;234,3;248,6;0;1,4;363;66;4466;0;33;0;9,9;0;0;501,6;0
