"name";"Eisen";"Zink";"Kupfer";"Mangan";"Fluorid";"Iodid"
"Früchtetee (Getränk)";80;115;5;15;44;40
"Vollkornbrötchen-Roggenvollkornbrötchen mit Leinsamen";2949;106;4,9;300;2362;2469
"Kasseler erwärmt";468;0;43,6;0;0;1318
"Dinkelmehl Typ 630";1161;31;0,2;101;1161;1547
"Delikateß Würstchen";832;45;2,3;62;78;1416
"Noriblatt (Seetangblätter Norialge)";16565;612;307;803;1231;7571
"Hirnwurst";2410;40;4,5;336;138;1783
"Brathähnchen Herz frisch";1700;50;10;346;90;3100
"Eierlikör";700;3;1;30;9;470
"Kaisersemmel";1794;69;2,1;246;1184;1341
"Bratwurst, Rheinische Bratwurst";732;38;2,1;63;74;1214
"Weichkäse Doppelrahmstufe";300;100;20;70;30;2600
"Schinken-Galantine                     ";1259;70;1,2;62;95;2307
"Lamm Herz frisch";3600;15;10;520;20;2000
"Bauernbratwurst";1210;63;2,4;72;107;2142
"Schweinezungensülze";2784;20;3,7;189;62;2092
"Cheddar Rahmstufe";400;140;44;30;40;4000
"Ananas Konserve";246;10;2,1;58;62;178
"Palmfett - Palmöl";10;0;0;1;1;10
"Kalbfleischkäse";1084;30;2,4;82;51;1655
"Sauerkirsche Konserve abgetropft";499;23;0,3;93;69;570
"Eier";2100;110;10;140;30;1350
"Hasenpastete";2750;45;1,3;186;58;2267
"Nuß-Nougat-Creme süß";1785;15;2;518;1125;847
"Sauerkirsche roh";600;18;0,2;100;80;100
"Spargel weiß frisch";651;48;7;156;102;401
"Kondensmilch 7.5 % Fett";100;26;15;24;10;720
"Kartoffelkroketten (Zubereitung Großküche)";525;20;4,1;85;160;415
"Schoko-Müsli";3153;62;3,5;588;2492;2471
"Cornichons Sauerkonserve abgetropft";512;26;3,1;106;199;182
"Gansgalantine                       ";5832;123;3,5;484;177;3198
"Salatmayonnaise 50% Fett";300;10;3;15;12;110
"Knollensellerie frisch gegart";445;13;3;109;133;273
"Schwein Vorder-, Hinterschinken";1128;60;3,6;59;75;1851
"Käseschinkenwurst";985;60;4,7;64;93;1948
"Graubrot-Roggenbrot mit Sauermilch";2057;100;4,4;359;1425;1759
"Salami aus Fleisch anderer Tiere";1773;24;1,3;135;60;3761
"Kabeljau tiefgefroren";440;28;170;230;17;500
"Auster frisch";6700;120;58;4461;450;85000
"Kochwurst";7054;145;2,2;595;188;3442
"Zwetschge frisch";400;2;0,1;100;100;100
"Kürbis frisch gegart";728;20;1,1;106;220;106
"Schwedische Leberpastete mit Sardellen";5858;131;3,6;490;179;3274
"Hafer Mehl";4200;95;4,2;230;3700;3300
"Mandel süß roh";3110;90;1,1;902;1814;3156
"Fleischwurst im Blätterteig";862;49;2,4;68;130;1078
"Schwein Hackfleisch frisch";895;48;1;52;62;1643
"Couscous roh";2577;89;3,1;406;1284;2051
"Kokosfett";20;0;0;2;0;0
"Multi-Vitamin-Nektar mit Süßstoff";298;11;2,5;79;58;139
"Cervelat- und Schlackwurst";1501;62;1,3;84;96;2768
"Rosinen";300;20;2;100;267;100
"Waffeln einfach (Zubereitung Haushalt)";856;57;4,9;81;168;689
"Knäckebrot-Weizenbrot mit Weizenkeimen";2416;65;3;317;1629;2224
"Mosaikroulade";5593;50;2,4;84;89;1673
"Sauermilchkäse (Harzer)";300;17;10;17;7;1900
"Lupinenschrot";4600;0;14,7;1100;2500;5000
"Sultaninen";300;20;2;100;267;100
"Brötchen-Mehrkornbrötchen";1866;92;3,2;235;1471;1401
"Sushi";882;41;10,3;161;703;1051
"Mozzarella 20% Fett i. Tr.";300;17;20;20;6;500
"Rauchfleisch";1875;52;2,2;83;33;3505
"Sojaschrot";10000;300;5,8;1000;2500;4100
"Sonnenblumenkern";5720;63;4;1890;2380;5760
"Salzkartoffeln (Zubereitung Haushalt)";386;10;4;82;113;315
"Pfirsich frisch";480;20;1;50;83;145
"Hummus";2600;0;5,4;300;700;1700
"Sojasoße";3916;42;2,8;432;1098;1343
"Landmettwurst";1219;63;2,6;75;102;2117
"Quark Halbfettstufe";100;16;10;16;7;500
"Pomelo frisch";110;24;1,3;48;17;80
"Spargel frisch";651;48;7;156;102;401
"Limonaden";390;15;1,8;10;42;40
"Schlagsahne 30 % Fett";110;10;9;18;3;320
"Graubrot-Toastbrot";1637;86;3,3;223;1319;1295
"Tee- und andere streichfähige Rohwurst";998;44;1;67;66;1732
"Schaf Keule (mittelfett) frisch gegart";2364;28;1,5;134;25;4073
"Erdnuss";1813;130;13;767;1604;2829
"Kichererbsenmehl";7000;0;20;800;2100;3400
"Geflügelbratwurst gegrillt";1124;38;2,6;136;74;1918
"Pesto";3025;59;17,3;408;860;2129
"Delikateß-Pastete";1127;60;3,6;85;129;1652
"Camembert Halbfettstufe";300;100;20;70;30;3000
"Kalbsrouladen";2624;38;2,7;117;64;2851
"Oliven schwarz gesäuert";1600;30;4,5;230;50;150
"Haselnussmus";3513;0;1;1639;3543;2130
"Leinmehl";10400;100;3;1900;3500;6400
"Lebertran";74;10;860;7;500;60
"Zitrone Fruchtsaft";427;8;0;312;28;109
"Kasseler gebacken";468;0;43,6;0;0;1318
"Dorschleber Konserve in Öl";29;4;626;431;175;1282
"Lammfilet (Zubereitung Gastronomie)";2639;28;1,6;168;29;4174
"Gouda mind. 50% Fett i. Tr.";280;115;11,8;40;40;4250
"Oliven grün gesäuert";1600;30;4,5;250;58;150
"Riesengarnelen gegrillt (Zubereitung Großküche)";1696;113;94,3;278;99;2573
"Brathähnchen Magen frisch";3500;50;5;96;65;3000
"Roter Thun frisch";1300;28;50;86;15;600
"Hühnerei Eigelb";7200;30;12;350;100;3800
"Gerste Vollkorn";2800;120;7;373;1650;2530
"Sauerkraut abgetropft frisch";600;45;1;130;140;320
"Linsen reif Konserve gegart abgetropft";644;6;0,8;58;128;365
"Erbsen grün frisch";1840;27;4,2;380;660;753
"Zitrone frisch";450;10;0,5;350;30;120
"Schwein Schinkenspeck roh ungeräuchert";1066;58;1;53;75;1956
"Wurstsülze";622;35;1,2;52;44;1185
"Biologische pflanzliche Soja-Joghurtalternative";570;63;2;114;206;0
"Zucchini frisch";1500;20;2,3;80;140;200
"Gnocchi roh";396;17;6;62;143;269
"Fleischsalat Grundlage";561;31;2,2;58;51;980
"Currywurst mit Curryketchup (Zubereitung Gastronomie)";825;40;2,1;94;81;1094
"Vollkornbrötchen-Roggen, Weizenvollkornbrötchen";3208;103;4,6;375;2734;2679
"Krakauer Konserve";1317;48;1,1;79;58;2413
"Schwein Fett (Schmalz)";50;0;0;10;0;0
"Remoulade 65% Fett";700;10;5;100;100;600
"Kidney-Bohnen Konserve abgetropft";2565;26;0,9;225;511;1274
"Sauerkraut (Zubereitung Haushalt)";490;30;1,8;101;104;249
"Petersilienblatt tiefgefroren";5185;104;14,7;490;2545;848
"Brötchen-Weizenbrötchen mit Mohn";1720;43;3,2;179;776;1361
"Bärlauch roh";2870;49;2,4;80;320;270
"Pastinake gegart";597;10;3,5;134;388;729
"Emmentaler";300;160;40;655;40;4600
"Weintrauben";500;14;1;83;104;55
"Gutsleberwurst Konserve";6105;136;2,3;503;183;3385
"Füllung für Rouladen";923;49;3,7;71;103;1430
"Weizen Vollkornflocken";3309;90;2,7;459;3665;2690
"Geflügeljagdwurst";1736;55;2,5;172;87;2421
"Sauerkrautsalat mit Salatöl (Zubereitung Großküche)";676;43;1,1;126;191;323
"Krapfen (Zubereitung Gastronomie)";671;36;2,5;99;231;428
"Krakauer roh Colbassa";1270;46;1,1;77;63;2377
"Sesam roh";10000;60;10;1460;1465;7775
"Kaffee mit Zucker (Getränk)";202;0;1;101;79;10
"Banane frisch mit Küchenabfall";369;13;1,9;87;355;147
"Schwein Bauchspeck roh geräuchert";1030;48;1,1;54;61;1794
"Schinkenplockwurst";1898;82;1,7;109;124;3488
"Gerauchte Schinkenwurst";1524;59;1,2;87;76;2826
"Limonaden kalorienarm";440;17;2;17;47;42
"Braunschweiger Mettwurst";1369;73;3;85;122;2438
"Kalbskäse";2362;39;4,5;333;118;1795
"Roggen Mehl Type 997";2300;150;2,5;250;2290;1760
"Fleischwurst mit Milcheiweiß Konserve           ";773;41;2,4;58;77;1346
"Schwein Gulasch (mittelfett) frisch";1755;78;1;99;14;3411
"Lachsfilets gebraten (Zubereitung Haushalt)";1156;46;24,6;221;240;939
"Natürliches Mineralwasser mit Kohlensäure";0;30;0,6;4;3;6
"Milchreis mit Zucker und Zimt (Zubereitung Haushalt)";168;22;6;38;402;404
"Teigwaren (allgemein) Spätzle";1600;80;0,6;150;730;1600
"Gänseleber in Aspik";9355;91;5,1;6476;285;2674
"Fleischkäse grob";996;54;2,4;68;92;1737
"Schafskopfbrasse frisch";600;180;60;240;36;470
"Kokosmilch mit Süßstoff";99;0;0,4;396;396;99
"Mungobohnensprossen frisch";910;4;2;120;188;390
"Hähnchenbrustfilets gebraten (Zubereitung Gastronomie)";690;48;0,4;133;58;688
"Kartoffelsalat mit Mayonnaise (Zubereitung Großküche)";458;12;3,9;80;143;302
"Trüffelleberwurst Konserve";6967;143;3,3;590;191;3365
"Schwein Speck roh geräuchert";1030;48;1,1;54;61;1794
"Macadamianuss geröstet und gesalzen";1767;91;3,2;296;842;1079
"Sternpastete";5593;50;2,4;84;89;1673
"Saure Sahne 10 % Fett";100;12;12;25;4;430
"Bratwurst grob, Schweinsbratwurst grob";1057;53;1,1;70;97;1792
"Brathähnchen Brustfilet mariniert gegrillt";1973;42;0,6;145;87;1049
"Erbsen grün tiefgefroren";1802;26;4,4;372;646;738
"Rind Hackfleisch gegart";2726;75;0;121;24;5018
"Mandel süß";3110;90;1,1;902;1814;3156
"Cocktailwürstchen Konserve";909;43;2,4;66;68;1638
"Wirsingkohl gegart";685;11;5,1;68;183;228
"Rohkostsalat mit Salatsoße ";1026;29;6,9;60;172;322
"Joghurt entrahmt";55;17;7,5;12;4;450
"Avocadocreme (Guacamole)";431;52;4;389;203;667
"Weizen Kleie gegart";2070;20;0,3;166;1642;1103
"Hartes Wasser   (14...21°d)";1;18;0,3;0;2;3
"Eierpfannkuchen - Eierkuchen (Zubereitung Haushalt)";1114;62;6,3;100;163;865
"Sellerie frisch";500;70;0,1;120;100;110
"Stuttgarter Leberkäse";2569;66;2,1;201;118;1830
"Frühstücksfleisch Konserve";1031;52;2,3;67;88;1697
"Karotte Gemüsesaft";265;15;2,5;44;76;103
"Blattspinat frisch";4100;110;12;120;474;584
"Hüttenkäse";100;17;20;20;6;500
"Preßwurst";1053;57;2,5;64;90;1875
"Schweineroulade";1480;41;1;97;60;1832
"Vollkornbrot-Hafervollkornbrot";3007;101;4,4;319;2445;2641
"Gouda";280;115;11,8;40;40;4250
"Tomaten geschält Konserve";500;18;0,2;110;110;300
"Geflügelcabanossi";1286;54;2,4;147;67;2146
"Brathering Konserve, abgetropft";1064;207;2,6;190;110;744
"Schwein Schnitzel (mager) frisch";1700;60;1;310;40;2600
"Weizen Keimflocken";7950;90;0,3;950;11423;12000
"Mirabelle frisch";500;2;1;90;90;100
"Gänseleberwurst mit Trüffeln";23315;140;3,7;4150;280;3744
"Vollkornteigwaren aus Weizen";3900;40;1,9;510;264;3000
"Orange frisch";400;5;2,1;67;29;100
"Tofu fest";2500;13;1,3;22;620;220
"Dinkelmehl 1050";2900;100;0,5;300;2900;3800
"Kürbiskernöl";0;0;0;0;0;0
"Hirse gegart";2604;19;0,9;230;418;1028
"Kaki frisch";370;15;1,8;113;355;110
"Frischkäsezubereitung Magerstufe";397;17;10;17;7;595
"Vollkornbrötchen-Roggenbrötchen mit Sonnenblumenkernen";2869;106;5,1;379;2404;2621
"Margarine aus Sonnenblumenöl gehärtet";60;8;1,5;40;12;160
"Himbeere tiefgefroren";1045;21;3,1;93;401;377
"Joghurt vollfett";50;15;7,5;11;4;450
"Gouda mind. 30% Fett i. Tr.";280;115;11,8;40;40;4250
"Kochsalami";1238;47;2,6;86;58;2327
"Haselnuss roh";3356,2;0;1;1565,6;3385,5;2035,2
"Bier Export Hell";12;1;1,5;6;12;18
"Vollkornbrötchen-Weizenvollkornbrötchen mit Weizenkeimen";2973;70;3,3;392;2763;2641
"Brötchen-Weizenbrötchen mit Butter";1288;46;2,1;175;497;903
"Mettwurst gekocht";704;38;2,3;64;68;1214
"Erdmandelmehl";2600;0;0,5;500;900;1600
"Vollkornbrot-Roggen, Weizenvollkornschrotbrot";2630;88;4,4;289;2219;2171
"Paprikaspeckwurst";1068;52;2,4;81;104;1571
"Berliner Knacker";1085;49;1,1;69;74;1910
"Salami";1778;57;1,3;121;285;2693
"Maltodextrin";500;0;2,4;0;1000;600
"Tomate rot roh";316;24;1,1;57;108;85
"Rind Filetsteak frisch";2300;100;0,1;76;20;4410
"Erdnussöl ";64;0;0;3;2;10
"Streichmettwurst";971;50;2,3;67;81;1638
"Graubrot-Weizenmischtoastbrot mit Schrotanteilen";2186;71;3,3;332;1249;1504
"Weißwurst hannoverisch";2182;123;2,2;110;172;3928
"Rind Brust (Spannrippe) frisch";1943;50;0,5;79;18;4218
"Knäckebrot-Roggenbrot mit Milch";3089;152;7;532;2131;2724
"Spaghetti alla carbonara ""Köhlerart"" (Zubereitung Gastronomie)";540;31;3,2;58;197;709
"Vollkornbrötchen-Weizen, Roggenvollkornbrötchen";3155;95;4,6;391;2638;2560
"Flohsamen";10400;100;3;1900;3500;6400
"Rohwurst, Würstchen, grob gekörnt";1395;56;1,2;82;87;2400
"Traubenkernöl";0;0;0;0;0;0
"Gummibonbons und Gummibärchen";4200;0;0;0;0;1400
"Makrele Konserve abgetropft";986;30;42,2;97;30;437
"Erdbeere frisch gegart";954;25;1,1;130;236;130
"Sojabohne geröstet";10017;361;6;1202;2715;4189
"Gemüsezwiebel roh";221;42;1,8;44;126;184
"Romanosalat frisch";1100;26;2;37;300;200
"Maisbrot";2560;50;3,3;264;1347;1778
"Reis Mehl";400;30;1;200;600;400
"Pflaumenmus";180;1;0,3;40;30;30
"Schwein Speck roh ungeräuchert";978;51;1;57;64;1794
"Früchte-Müsli";3329;69;3,8;435;2855;2493
"Buttergebäck aus Mürbeteig";1104;44;1,1;107;266;718
"Schwein Schinken gekocht ungeräuchert";1014;54;3,4;53;67;1665
"Frischkäse aus Ziegenmilch (40% Fett i. Tr.)";100;15;9;15;6;502
"Leinsamenbrot mit Hefe";1990;66;2,6;240;1125;1280
"Schaf Lende (Filet) (mager) frisch gegart";2696;28;1,5;152;28;3791
"Apfelmus (Zubereitung Großküche)";361;7;2,1;80;46;108
"Leberwurst frisch";7054;145;2,2;595;188;3442
"Hamburger (Zubereitung Gastronomie)";1799;40;1,7;128;255;1376
"Lachs gekocht (Zubereitung Haushalt)";1002;35;24,5;198;35;886
"Grünkohl frisch";1900;20;12;56;550;330
"Paranuss geröstet";3102;109;0;1183;546;3639
"Hirse Vollkornflocken";6900;50;2,5;610;1107;2867
"Wassermelone";225;11;1;28;32;83
"Wildreis ungekocht";1960;45;3;524;1329;5960
"Vollkornbrot";2661;102;4,4;301;2287;2409
"Gutsleberwurst";6105;136;2,3;503;183;3385
"Rind Nacken (Kamm) (mittelfett) frisch";2053;59;0,1;58;20;5469
"Kuhmilch Trinkmilch vollfett";50;17;7,5;15;5;380
"Reh Fleisch (mager) frisch";3000;30;0,6;150;20;3000
"Kalbszunge in Weißweinaspik";2591;23;3,8;158;46;2393
"Gerste";2800;120;7;373;1650;2530
"Knäckebrot-Roggenbrot mit Sonnenblumenkernen";3477;154;6;689;2266;2922
"Schinkenröllchen in Aspik";1041;59;5,3;93;85;1561
"Kürbiskern roh";4892;90;2,7;833;2768;6150
"Roggen Mehl Type 1150";2627;150;2,9;453;2072;2420
"Hauskaninchen Fleisch (mager) frisch";3200;30;1;500;38;1400
"Tomaten roh";316;24;1,1;57;108;85
"Leberkäse";1760;56;2,4;139;91;1571
"Apfel Fruchtsaft (Ohne Zuckerzusatz)";244;9;1;54;44;44
"Schwein Bauchspeck";60;2;0,2;12;1;120
"Brathähnchen Leber gegart";9193;97;2,4;393;282;3106
"Wirsingkohl frisch";900;12;5;70;200;300
"Spritzgebäck aus Rührteig";1279;72;2,2;201;465;843
"Kartoffelsalat mit Essigmarinade (Zubereitung Haushalt)";357;11;3,7;74;110;274
"Cashewnuss frisch";2800;140;10;3700;840;2085
"Polnische Bratwurst";1395;56;1,2;82;87;2400
"Mohn";9500;40;10;160;6000;10000
"Pizza salami (Zubereitung Gastronomie)";1075;39;4;144;247;925
"Leberpreßsack einfach";5228;109;2,2;429;156;2694
"Stangenbohnen grün frisch";830;12;3;84;380;336
"Fenchel gegart";0;0;0;0;0;215
"Würstchen, Bockwurst, Wiener Würstchen";787;42;2,4;63;72;1289
"Weißwurst Münchener";1321;38;2,2;82;89;1634
"Nürnberger Lebkuchen";1913;39;2,2;335;1293;931
"Sahneeiscreme";568;12;7,2;38;11;530
"Schinkentorte mit Mürbeteig";1119;61;3,6;81;130;1685
"Zwiebeln roh";221;42;1,8;44;126;184
"Buchweizen Mehl";1000;70;2,5;70;2100;2000
"Rind Pökelfleisch roh geräuchert";2026;52;2,2;70;32;4309
"Weinsauerkraut";600;45;1;130;140;320
"Kasseler gebraten (zubereitet ohne Fett)";468;0;43,6;0;0;1318
"Camembert";300;100;20;70;40;3000
"Obstkuchen mit Steinobst";673;27;3,3;73;159;432
"Teewurst Rügenwälder Art";1235;52;1,1;70;71;2185
"Dinkelflocken";3400;100;2,7;400;3600;2700
"Weizen Mehl Type 1050";2183;12;1,4;263;1841;1892
"Bierwurst 1a Konserve";1102;40;2,4;79;51;2043
"Roggen, Weizen-Mischbrot mit Hefe";1534;85;3,3;194;1330;1225
"Hühnerbrüstchen in Spargelsoße (Zubereitung Großküche)";394;30;1,9;105;42;495
"Gemüsepaprika rot frisch";550;20;1;80;100;260
"Cheeseburger (Zubereitung Gastronomie)";1660;53;6,4;121;203;1723
"Brötchen-Weizenbrötchen mit Sesam";1743;44;3,2;242;557;1254
"Geflügelmortadella";1230;15;41,9;50;40;2020
"Schwein Schinkenspeck roh geräuchert";1122;55;1,1;51;72;1956
"Süßkirsche roh";350;18;1,2;100;86;75
"Gekochte Eier (Zubereitung Gastronomie)";1573;105;10;126;29;1348
"Westfälischer Panhas";27513;58;3,2;171;630;2191
"Hühnerei Eigelb frisch";7200;30;12;350;100;3800
"Mandarine frisch";300;10;0,8;90;40;80
"Thunfisch Konserve";789;27;40;76;16;664
"Gänseleberrolle                      ";1072;52;3,7;75;153;1554
"Karotte gegart";325;20;3,3;57;102;238
"Streuselkuchen aus Hefeteig fettreich";907;51;2;105;295;671
"Bierwurst bayrisch";1106;43;1,1;73;54;2054
"Johannisbeere rot tiefgefroren";938;24;1;104;250;250
"Kräuterleberwurst";5832;121;2,2;485;176;2920
"Tomaten gegart";332;30;1,4;69;134;93
"Fleischkäse einfach";911;48;2,7;71;84;1494
"Mango frisch";400;10;1,6;120;30;40
"Himbeere";1000;20;3;89;384;361
"Schweineschnitzel paniert, gebraten (Zubereitung Haushalt)";1478;77;3,3;94;172;1922
"Fenchel Knolle roh";0;0;0;0;0;220
"Frischkäsezubereitung Rahmstufe";80;14;8;14;6;398
"Leberrotwurst";10172;114;2,3;371;186;3069
"Schweinebauch gefüllt Fleischerzeugnis";1391;60;3,6;103;164;2047
"Bohnen weiß reif Konserve gegart abgetropft";1342;29;2;133;372;672
"Brötchen mit Mohn";1720;43;3,2;179;776;1361
"Pistazie frisch";7300;120;5;1180;464;810
"Knäckebrote leicht & cross";2676;102;3;367;1767;2002
"Erdnuss geröstet und gesalzen";2292;138;0,9;689;1747;3625
"Forelle geräuchert";654;33;3,3;154;33;1215
"Cashewmus pur";5030;140;1;2190;840;5160
"Schweineschnitzel paniert, gebraten (Zubereitung Gastronomie)";1340;67;2,6;132;171;1653
"Schinkensalami";1088;58;2,5;72;103;1916
"Schinkenkrakauer Konserve";1317;48;1,1;79;58;2413
"Bleichsellerie frisch";500;70;0,1;120;100;110
"Sekt";500;20;10;10;140;30
"Gepuffte Getreide";4600;40;0,6;560;2000;2800
"Quitte frisch";600;6;1,6;130;20;200
"Baguette-Brötchen";1325;43;2,1;180;511;924
"Weizen Keim";7950;90;0,3;950;11423;12000
"Rind Gulasch (mager) frisch";2340;60;0,1;72;20;5290
"Schweinefleisch in Aspik";2203;21;2,6;92;34;2293
"Knoblauch roh";1400;50;2,7;149;460;577
"Kichererbsen reif gegart";2745;16;9,2;262;987;1391
"Bierwurst";1102;40;2,4;79;51;2043
"Hühnerei frisch gegart";1597;106;10;128;29;1369
"Rind Herz gegart";5021;59;29,4;401;59;1958
"Bratwurst Grundbrät";732;38;2,1;63;74;1214
"Batate (Süßkartoffel)";664;17;2,4;130;240;230
"Fleischbrühe klar (Zubereitung Haushalt)";825;28;3;52;80;1670
"Gerste Flocken";2000;100;1;120;1270;1280
"Schmierwurst (fette Mettwurst)";840;41;1,1;62;71;1405
"Cornflakes";2000;50;1;200;50;280
"Bohnen grün Konserve";469;11;3;61;226;230
"Geflügelbockwurst erwärmt";1085;51;2,2;134;75;1857
"Hartkäse";400;140;52;50;40;4500
"Vollkornbrötchen-Roggenvollkornmischbrötchen";3208;103;4,6;375;2734;2679
"Zuckermais (Gemüsemais) gegart";520;20;3,3;63;200;1055
"Rotkohl frisch";500;12;5,2;42;100;239
"Sauerkraut Saft";558;45;1;129;138;314
"Knoblauchwurst";1158;45;1,1;76;65;2142
"Kokosnussmilch 60% Kokosanteil";3000;0;1,9;0;1800;1100
"Rind Keule (mittelfett) frisch";2090;58;0,2;89;21;4126
"Wiener";909;43;2,4;66;68;1638
"Limette frisch";200;10;0,5;65;40;110
"Pommes frites (verzehrsfertig ungesalzen)";1700;20;6,6;193;208;829
"Pferd Fleisch gegart";4132;26;1,5;126;16;2550
"Leberpastete";6596;145;2,7;558;168;3461
"Göttinger Blasenwurst, Krakauer";1317;48;1,1;79;58;2413
"Brötchen mit Sesam";1743;44;3,2;242;557;1254
"Bockwurst";787;42;2,4;63;72;1289
"Brühwurst mit Fleischeinlage (umgerötet)";953;52;2,1;56;86;1697
"Kalbfleischsülze Konserve";1648;18;1,3;104;31;2558
"Krakauer Schinkenwurst";1422;66;1,3;76;100;2536
"Lammfleisch-Salami";1773;24;1,3;135;60;3761
"Semmelknödel (Zubereitung Haushalt)";848;43;5,5;101;213;752
"Bitterschokolade";6991;66;1,5;2100;1654;3158
"Markenbutter";0;71;2,7;0;0;230
"Nektarine frisch";500;10;0,5;60;100;100
"Rotwein schwer";710;12;10;40;200;130
"Sauerkirsche tiefgefroren";627;19;0,2;104;84;104
"Schinkenwurst grob, Lyoner grob";960;51;2,4;68;90;1671
"Kalbsbries-Galantine                    ";2059;207;4,9;209;112;2203
"Frischkäsezubereitung Doppelrahmstufe";79;13;8;13;6;387
"Kürbis frisch";770;20;1,4;100;220;100
"Zwiebeln geröstet (Zubereitung Gastronomie)";1334;53;2;72;136;398
"Gemüsemischung tiefgefroren";1330;22;5;136;285;451
"Herzwurst Konserve";1899;56;2,6;149;83;1703
"Pollack tiefgefroren";230;35;260;200;20;600
"Teewurst";998;44;1;67;66;1732
"Leberwurst 1a Konserve";7054;145;2,2;595;188;3442
"Hühnerei Eiweiß frisch";200;80;6,8;130;40;20
"Kopfsalat frisch";1000;32;3,3;49;176;372
"Tempeh";5000;26;2,5;800;1200;3800
"Creme, Schmand 30 % Fett";110;9;9;18;3;320
"Spaghetti mit Tomatensoße ""neapolitanische Art"" (Zubereitung Gastronomie)";580;35;2,5;65;211;735
"Kartoffeln gegart";855;10;3,4;95;107;406
"Zunge roh ungeräuchert";1554;44;2,4;112;81;1774
"Frühlingspastete";1484;52;5,4;127;118;1513
"Weizenbier (Weißbier) obergärig";1;1;1;40;30;20
"Topinambur frisch";3700;9;0,1;150;60;60
"Frankfurter Würstchen Schinkenwürste";832;45;2,3;62;78;1416
"Kalbsroulade mit Lachsschinken";2855;35;2,7;113;58;3029
"Dampfbrötchen mit Hefe";1325;43;2,1;180;511;924
"Blumenkohl roh";510;9;0,7;45;180;286
"Mayonnaise 80% Fett";600;10;6;30;17;160
"Rind Steak mager (mager)";2000;60;0,1;79;22;4070
"Tzatziki (Zubereitung Gastronomie)";184;15;5,2;36;50;265
"Papaya roh";420;15;1,6;35;23;376
"Mettwurst einfach streichfähig";635;29;1,1;49;61;936
"Teigwaren (allgemein) Spaghetti";1600;80;0,6;150;730;1600
"Pökelwaren Rippchen, Schälrippchen";1529;44;3,2;54;61;1142
"Kalbsbrust in Aspik";2081;30;2,5;97;64;2325
"Vollkornbrot mit Sesam";2964;100;4,6;349;2253;2630
"Peperonisalat mit Olivenöl und Knoblauch (Zubereitung Gastronomie)";722;20;2,5;75;141;176
"Kokosöl";20;0;0;2;0;0
"Tee schwarz fermentiert (Getränk)";20;115;1;30;690;40
"Karotte roh";355;19;3,1;55;97;256
"Frühstücks Porridge (Zubereitung Haushalt)";1000;0;0,9;100;400;800
"Brathähnchen Fleisch mit Haut gegart";904;43;13;33;18;1303
"Paprikaschoten frisch gegart";708;20;2,2;74;100;190
"Brombeere tiefgefroren";941;25;0;113;887;199
"Heringsfilet Matjesart";1205;385;32,8;357;39;1081
"Mettwurst schnittfest";1160;46;1,1;76;65;2148
"Fleischwurst einfach, Stadtwurst einfach";834;44;2,6;72;72;1474
"Gefüllter Schinken";1317;72;1,3;72;118;2348
"Rinderbrust in Weißweinaspik";1779;55;1,3;88;40;3487
"Schmelzkäse";1200;140;35;120;50;3200
"Sauerkirsche Konfitüre";532;9;0,1;61;47;64
"Schinkenbrät-Terrine";1176;53;4;108;152;1506
"Würstchen Konserve";832;45;2,3;62;78;1416
"Kohlrabi gedünstet (Zubereitung Haushalt)";699;12;1,8;102;114;241
"Würziger Nudelsalat (Zubereitung Haushalt)";549;24;2;60;171;333
"Geflügelbratwurst gebraten (zubereitet ohne Fett)";1124;38;2,6;136;74;1918
"Seidentofu";1200;7;0,7;13;360;129
"Wodka";10;0;0;10;0;4
"Kürbiskern";4892;90;2,7;833;2768;6150
"Weintraube rot Fruchtsaft";485;14;1;84;104;55
"Geflügelknackwurst erwärmt";1027;46;1,9;121;79;1640
"Mais Stärke";500;50;2,5;50;1000;600
"Schwein Leber roh";17286;290;14;1272;307;7100
"Weißbrot mit Rosinen";1179;39;2,2;165;467;813
"Rinderfilet (Zubereitung Haushalt)";3154;137;0,1;99;24;5729
"Lachs pazifisch geräuchert";670;200;35,5;41;17;488
"Zucchini frisch gegart";1417;20;2,2;84;140;211
"Wurzelpetersilie frisch gegart";776;77;1,1;204;145;145
