name;Poly-Pentosen;Poly-Hexosen;Poly-Uronsäure;Cellulose;Lignin;Wasserlösliche Ballaststoffe;Wasserunlösliche Ballaststoffe
Chicoree frisch;416;39;156;221;468;390;910
Weiße Graupenwurst;149;51;589;457;88;287;1049
Mortadella süddeutsch, Zungenwurst;35;19;86;36;21;70;127
Hüttenkäse Halbfettstufe;0;0;0;0;0;0;0
Kasseler gebraten im Backofen ohne Fett;0;0;0;0;0;0;0
Whisky;0;0;0;0;0;0;0
Margarine pflanzlich Linolsäure 30-50%;0;0;0;0;0;0;0
Bohnen grün tiefgefroren;1220;66;1155;429;429;1649;1649
Geflügelmortadella gekocht;32;30;28;34;32;46;110
Studentenfutter mit Erdnüssen;2218;946;2148;1718;1752;3657;5125
Corned Beef;0;0;0;0;0;0;0
Brötchen-Roggenmischbrötchen;797;142;2210;1728;125;2367;2635
Pfefferminztee (Getränk);0;0;0;0;0;0;0
Erbsen grün Konserve;1482;66;1089;495;165;198;3100
Makrele roh Fischzuschnitt;0;0;0;0;0;0;0
Kürbiscremesuppe (Zubereitung Haushalt);206;26;336;98;118;263;521
Linsen-Eintopf (Zubereitung Gastronomie);851;35;803;301;416;833;1573
Hafer Schrot;668;334;2507;1782;279;1671;3899
Chilischote rot frisch;1149;503;431;251;1257;539;3052
Saure Sahne;0;0;0;0;0;0;0
Papaya gegart;399;342;323;418;418;790;1110
Thunfisch Konserve in Öl, abgetropft;0;0;0;0;0;0;0
Joghurt mit Magermilch angereichert teilentrahmt;0;0;0;0;0;0;0
Zwiebelwurst;135;18;164;32;131;226;253
Johannisbeere schwarz Konfitüre;719;533;466;163;624;140;2365
Pökelwaren Pökelfleisch;0;0;0;0;0;0;0
Pfälzer Saumagen;375;14;396;116;206;341;767
Roggenfladenbrot;921;172;2516;1987;124;2838;2882
Spitzpaprika grün;1149;503;431;251;1257;539;3052
Fleischwurst Pariser;12;11;10;12;11;18;39
Kalbsleberwurst grob;39;8;44;13;36;60;80
Erdnuss roh;1300;1174;1761;2348;2935;1210;10528
Apfelmus (Zubereitung Haushalt);401;7;131;265;630;341;1093
