"name";"Mannit";"Sorbit";"Xylit";"Summe Zuckeralkohole";"Glucose (Traubenzucker)";"Fructose (Fruchtzucker)";"Galactose (Schleimzucker)";"Monosaccharide (1 M)";"Saccharose (Rübenzucker)";"Maltose (Malzzucker)";"Lactose (Milchzucker)";"Disaccharide (2 M)";"Oligosaccharide, resorbierbar (3-9 M)";"Oligosaccharide, nicht resorbierbar";"Glykogen (tierische Stärke)";"Stärke";"Polysaccharide (> 9 M)"
"Erdnuss roh";2992;0;0;0;0;0;0;0;0;0;0;5500;2992;0;5500;0;0
"Apfelmus (Zubereitung Haushalt)";8721;4167;0;1519;0;0;0;0;5686;3;0;425;8721;368;425;368;0
"Buchweizenbrot";982;49;0;50;0;0;13;0;99;0;182;45827;969;0;45827;0;0
"Heidelbeere tiefgefroren";302;4251;0;3130;0;0;0;0;7412;0;0;0;302;7;0;14;7
"Schwein Schinken roh geräuchert (Lachsschinken)";890;0;0;0;0;0;0;0;0;0;0;0;890;0;0;0;0
"Graubrot-Roggenbrot mit Käse";2911;405;0;596;0;0;2298;0;1001;0;23;38694;613;0;38694;0;0
"Blumenkohl tiefgefroren";212;925;0;986;0;0;0;0;1911;0;0;300;212;0;300;27;27
"Dinkelbrötchen";4537;92;0;118;0;103;895;0;210;0;207;33174;3539;0;33174;0;0
"Cocktailtomaten";84;1358;0;1081;0;0;0;0;2439;0;0;0;100;0;80;0;0
"Käsespätzle (Zubereitung Haushalt)";99;47;0;206;0;0;0;0;253;13;103;17744;99;0;17744;0;0
"Knäckebrot-Roggenbrot";4762;662;0;976;0;0;3759;0;1638;0;38;63301;1003;0;63301;0;0
"Gurkensalat mit Joghurt (Zubereitung Haushalt)";1447;647;226;591;0;668;0;38;1464;0;0;1;779;0;1;38;0
"Müsli-Riegel";22746;3607;0;3712;0;0;13;0;7319;8;127;13665;22733;66;13665;66;0
"Schwein Rückenspeck";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Reisdrink";0;0;0;7100;0;0;0;0;7100;0;0;0;0;0;2800;0;0
"Rostbratwurst";33;119;0;131;0;0;0;0;250;0;0;8;33;0;8;0;0
"Traubenzucker";0;0;0;99800;0;0;0;0;99800;40;0;0;0;0;0;0;0
