"name";"Mannit";"Sorbit";"Xylit";"Summe Zuckeralkohole";"Glucose (Traubenzucker)";"Fructose (Fruchtzucker)";"Galactose (Schleimzucker)";"Monosaccharide (1 M)";"Saccharose (Rübenzucker)";"Maltose (Malzzucker)";"Lactose (Milchzucker)";"Disaccharide (2 M)";"Oligosaccharide, resorbierbar (3-9 M)";"Oligosaccharide, nicht resorbierbar";"Glykogen (tierische Stärke)";"Stärke";"Polysaccharide (> 9 M)"
"Pute Truthahn gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Frischkäse Doppelrahmstufe";2500;0;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0
"Edamer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Seitan (braun)";375;127;0;115;0;0;0;0;242;35;39;7137;375;0;7137;0;0
"Bismarckhering Konserve, abgetropft";1851;151;0;240;0;0;0;0;391;0;123;836;1851;0;836;0;0
"Tatar (Schabefleisch) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Moosbeere";234;1833;0;1833;0;0;0;0;3666;0;0;0;234;0;0;0;0
"Pfälzer, Augsburger, Regensburger";15;113;0;131;60;0;0;0;244;0;0;72;15;0;12;0;0
"Weißer Fleischkäse";5;48;0;57;0;0;0;0;105;0;0;6;5;0;6;0;0
"Schwein Rücken (Kotelett) (mittelfett) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bratkartoffeln (Zubereitung Gastronomie)";303;158;0;230;0;35;0;0;388;0;0;12715;268;0;12715;0;0
"Xylit";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99000;99000
"Suppenhuhn Klein frisch gegart";0;0;0;0;2784;0;0;0;0;0;0;2784;0;0;0;0;0
"Brötchen-Weizenmischbrötchen";1533;224;0;308;0;0;1028;0;532;192;180;45233;505;0;45233;0;0
"Pizza tonno (Zubereitung Gastronomie)";367;1067;0;987;0;0;0;0;2054;14;78;19411;367;0;19411;0;0
"Haferflocken";770;0;0;0;0;0;60;0;0;0;596;57992;710;0;57992;0;0
"Kondensmilch 10 % Fett";12500;0;0;0;0;2500;0;0;0;0;0;0;10000;0;0;0;0
"Mettwurst schnittfeste Gruppe";7;67;0;81;0;0;0;0;148;0;0;9;7;0;9;0;0
"Reisnudeln";333;83;0;83;0;0;0;0;166;0;333;82408;333;0;82408;0;0
"Kalbfleisch-Galantine";1;12;0;18;0;0;0;0;30;0;0;1;1;0;1;0;0
"Kabeljau frisch Fischzuschnitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Spätzle (Zubereitung Gastronomie)";86;21;0;149;0;0;0;0;170;15;86;21296;86;0;21296;0;0
"Wildbret-Galantine                     ";5;56;0;66;0;0;0;0;122;0;0;7;5;0;7;0;0
"Champignon Konserve gegart abgetropft";14;22;0;52;0;0;0;356;74;0;0;0;14;0;0;356;0
"Sprotte frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Buchweizen Vollkorn";284;71;0;71;0;0;0;0;142;0;0;70574;284;0;70574;0;0
"Rührei (Zubereitung Haushalt)";982;0;0;565;0;982;0;0;565;0;0;0;0;0;0;0;0
"Bratensoße dunkel Konserve";237;233;0;346;79;0;0;4;579;0;166;4218;237;0;4139;4;0
"Weizen Vollkornmehl";595;60;0;60;0;0;0;0;120;0;357;58458;595;0;58458;0;0
"Puffmais";1210;67;0;67;0;0;0;0;134;0;269;65617;1210;0;65617;0;0
"Steinpilz frisch";16;27;0;64;0;0;0;423;91;0;0;0;16;0;0;423;0
"Rucola roh";199,5;498,8;0;996,6;0;0;0;0;1495,3;0;0;300,2;199,5;0;300,2;0;0
"Rind, Schwein Hackfleisch frisch";0;0;0;0;274;0;0;0;0;0;0;274;0;0;0;0;0
"Knäckebrot-Roggenmischbrot mit Sesam";3745;497;0;735;0;0;2860;0;1232;123;115;62491;885;0;62491;0;0
"Spiegelei (Zubereitung Haushalt)";33;0;0;700;0;33;0;0;700;0;0;0;0;0;0;0;0
"Trinkmilch mit Kakao, Schokolade";20353;0;0;0;0;3808;0;0;0;3;0;503;16545;0;503;0;0
"Kalbskopf im Darm                     ";31;26;0;32;555;0;0;0;58;0;0;669;31;0;114;0;0
"Ziegenmilch";4400;0;0;0;0;4400;0;0;0;0;0;0;0;0;0;0;0
"Graubrot-Roggenbrot mit Schrotanteilen";2733;378;0;553;0;0;2110;0;931;0;62;39584;623;0;39584;0;0
"Croissant aus Blätterteig";4886;42;0;42;0;1397;0;0;84;1;160;39729;3489;0;39729;0;0
"Spitzkohl frisch";675;959;0;958;0;0;0;0;1917;0;0;108;675;0;108;0;0
"Melassesirup dunkel";49056;8064;0;8064;0;0;0;0;16128;40;2016;0;49056;0;0;0;0
"Weißkohl frisch gegart";242;1358;0;1359;0;0;0;0;2717;0;0;60;242;0;60;0;0
"Kakaobohne, -masse";8672;0;0;0;0;0;0;0;0;0;0;2168;8672;0;2168;0;0
"Schwein Bauch (mittelfett) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Maisbrötchen";1241;51;0;52;0;0;14;0;103;0;253;46803;1227;0;46803;0;0
"Rind Bratenfleisch (mager) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kartoffelpuffer (Zubereitung Gastronomie)";345;203;0;357;0;0;0;0;560;1;82;14246;345;0;14246;0;0
"Sojabohnen reif frisch";396;0;0;0;0;0;0;0;0;9000;0;4;396;0;4;0;0
"Weichkäse";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Emmentaler Vollfettstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Johannisbeere schwarz tiefgefroren";1211;5392;0;4115;0;0;0;0;9507;0;0;0;1211;0;0;0;0
"Hefe-Weizenbier obergärig";204;6;3;18;0;0;204;3;33;0;2630;167;0;3;0;6;0
"Rohwurst";10;87;0;103;0;0;0;0;190;0;0;10;10;0;10;0;0
"Hafer";1076;0;0;0;0;0;30;0;0;250;555;54069;1046;0;54069;0;0
"Brötchen mit Rosinen";952;2893;0;2854;0;0;13;0;5747;29;189;45220;939;0;45220;0;0
"Weißbrot-Toastbrot";2130;49;0;50;0;658;13;0;99;0;180;45276;1459;0;45276;0;0
"Mandelmus pur";19700;0;0;0;0;0;0;0;0;0;0;0;19700;0;0;0;0
"Grahambrot";411;54;0;573;0;0;0;0;627;0;244;40089;411;0;40089;0;0
"Schlagsahne 40% Fett";3100;0;0;0;0;3100;0;0;0;0;0;0;0;0;0;0;0
"Rind Steak (mittelfett) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sülzen und Aspik";1;14;0;16;180;0;0;0;30;0;0;181;1;0;1;0;0
"Rosenkohl frisch";1086;888;0;987;0;0;0;0;1875;0;0;329;1086;0;329;0;0
"Vollkornbrot-Weizen, Roggenvollkornbrot";528;54;0;368;0;0;40;0;422;0;301;39638;488;0;39638;0;0
"Haselnuss";5970;0;0;0;0;0;0;0;0;0;0;0;5970;0;0;0;0
"Hähnchenbrust paniert gebraten (zubereitet ohne Fett)";703;3;0;59;0;0;37;0;62;6;32;17903;666;0;17903;0;0
"Sesam";204;0;0;0;0;0;0;0;0;0;0;9996;204;0;9996;0;0
"Graubrot-Haferbrot";1562;217;0;316;0;0;1096;0;533;35;138;40602;466;0;40602;0;0
"Knoblauch gegart";3299;3299;0;2199;0;0;0;0;5498;0;20623;0;3299;0;0;0;0
"Joghurt vollfett mit Fruchtzubereitung";12590;344;830;155;0;2457;0;0;1329;4;0;86;10133;31;86;31;0
"Rind Muskelfleisch";0;0;0;0;550;0;0;0;0;0;0;550;0;0;0;0;0
"Fleischkäse";15;78;0;90;0;0;0;0;168;0;0;7;15;0;7;0;0
"Paprikaschoten frisch";116;1193;0;1455;0;0;0;0;2648;0;0;146;116;0;146;0;0
"Kalbsleberwurst";75;216;0;254;897;0;0;0;470;0;63;904;75;0;7;0;0
"Graubrot-Roggenbrot mit Sonnenblumenkernen";2874;398;0;587;0;0;2260;0;985;26;23;38585;614;0;38585;0;0
"Big Mac (Zubereitung Gastronomie)";1166;494;0;474;66;737;5;1;968;11;130;17803;424;0;17737;1;0
"Broccoli frisch gegart";355;673;0;746;0;0;0;0;1419;0;0;94;355;0;94;0;0
"Grüne Bohnen gedünstet (Zubereitung Haushalt)";170;508;0;410;0;0;0;0;918;1364;546;1128;170;0;1128;0;0
"Kartoffelwurst";137;170;0;228;0;0;0;0;398;0;26;4835;137;0;4835;0;0
"Schwein Schinken";1072;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0
"Birne";1810;6746;0;1674;0;0;0;0;8420;0;0;0;1810;2170;0;2170;0
"Schwarzwälder Kirschtorte";9999;885;0;1148;0;1328;0;0;2033;10;28;9384;8671;0;9384;0;0
"Champignonleberwurst";69;202;0;239;787;0;0;47;441;0;56;794;69;0;7;47;0
"Bergkäse Vollfettstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Grützblutwurst";190;131;0;160;124;0;8;0;291;0;116;8592;182;0;8468;0;0
"Hausmacher Leberwurst Konserve";0;0;0;0;940;0;0;0;0;0;0;940;0;0;0;0;0
"Buchweizen Grieß";291;73;0;73;0;0;0;0;146;0;0;72193;291;0;72193;0;0
"Paranuss frisch";1420;0;0;0;0;0;0;0;0;0;0;2130;1420;0;2130;0;0
"Schafsmilch";4700;0;0;0;0;4700;0;0;0;0;0;0;0;0;0;0;0
"Schlagsahne 10% Fett";4114;0;0;0;0;4114;0;0;0;0;0;0;0;0;0;0;0
"Colagetränke (coffeinhaltig)";5920;2080;0;2850;0;0;0;0;4930;0;0;0;5920;0;0;0;0
"Schweinekümmelmagen";94;87;0;112;30;0;0;0;199;0;0;224;94;0;194;0;0
"Geflügelmortadella gebacken";270;1754;0;2077;0;0;0;0;3831;0;0;188;270;0;188;0;0
"Lachs geräuchert";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gewürzgurken Sauerkonserve";256;617;0;558;0;0;0;35;1175;0;0;0;256;0;0;35;0
"Parmesan Vollfettstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brombeere frisch";73;1347;0;1280;0;0;0;0;2627;0;0;0;73;0;0;0;0
"Marzipan";68568;0;0;0;0;0;0;0;0;27;0;0;68568;0;0;0;0
"Vanillepudding (Zubereitung Großküche)";13913;0;0;21;0;3843;0;0;21;4;0;6963;10070;0;6963;0;0
"Kaffee mit Milch (Getränk)";163;2;0;2;0;154;0;0;6;0;0;275;9;0;0;0;0
"Bregenwurst";0;0;0;0;369;0;0;0;0;0;0;369;0;0;0;0;0
"Ahornsirup";58320;520;0;1600;0;0;0;0;2120;0;0;0;58320;0;0;0;0
"Edelkastanien (Maronen) Mehl";23160;0;0;0;0;0;0;0;0;0;0;45487;23160;0;45487;0;0
"Zucker";99800;0;0;0;0;0;0;0;0;40;0;0;99800;0;0;0;0
"Weizen Mehl Type 405";670;30;0;32;0;0;330;0;62;50;289;71000;340;0;71000;0;0
"Schokolade weiß";62490;0;0;0;0;7600;0;0;0;22;0;0;54890;0;0;0;0
"Gefüllte Kalbsbrust";134;191;0;290;0;0;0;53;481;0;0;110;134;0;110;53;0
"Kartoffelbrei, Kartoffelpüree (Zubereitung Haushalt)";1075;106;0;159;0;863;0;0;265;0;0;10107;212;0;10107;0;0
"Kohlrabi gegart";856;828;0;967;0;0;0;0;1795;0;0;110;856;0;110;0;0
"Buchweizen gegart";89;22;0;22;0;0;0;0;44;0;0;22190;89;0;22190;0;0
"Vanillezucker";99800;0;0;0;0;0;0;0;0;40;0;0;99800;0;0;0;0
"Röstbrotwürfel";220;55;0;55;0;0;0;0;110;0;220;54388;220;0;54388;0;0
"Schinkenwurst";31;91;0;105;0;0;0;0;196;0;0;67;31;0;67;0;0
"Vollkornbrot-Weizenvollkornbrot";411;54;0;573;0;0;0;0;627;0;244;40089;411;0;40089;0;0
"Tiroler Schinkenwurst";37;64;0;82;51;0;0;0;146;0;0;93;37;0;42;0;0
"Leberpreßsack";27;89;0;116;661;0;0;0;205;0;24;669;27;0;8;0;0
"Milchschokolade";54100;0;0;0;0;9522;0;0;0;0;0;0;44578;0;0;0;0
"Rinswurst Konserve";11;106;0;128;0;0;0;0;234;0;0;13;11;0;13;0;0
"Quark Vollfettstufe";3000;0;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0
"Hausmacher Blutwurst";91;190;0;233;15;0;0;0;423;0;45;37;91;0;22;0;0
"Mischgemüse gedünstet, in Butter geschwenkt (Zubereitung Gastronomie)";1840;732;0;894;0;122;0;91;1626;196;204;1438;1718;0;1438;91;0
"Schinkenwurst roh";39;80;0;99;0;0;0;0;179;0;0;38;39;0;38;0;0
"Kaffee (Getränk)";9;2;0;2;0;0;0;0;6;0;0;285;9;0;0;0;0
"Granatapfel Fruchtsaft";1649;6818;0;8378;0;0;0;0;15196;1;0;0;1649;0;0;0;0
"Rote Rübe frisch gegart";5617;244;0;244;0;0;0;0;488;0;0;0;5617;0;0;0;0
"Radicchio frisch";285;600;0;600;0;0;0;0;1200;0;0;15;285;0;15;0;0
"Schwein Speck durchwachsen roh geräuchert";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Herzwurst";277;99;0;117;95;0;0;0;216;0;0;199;277;0;104;0;0
"Kalbfleischpastete";75;72;0;86;0;31;0;0;158;5;30;7268;44;0;7268;0;0
"Schokoladenkuchen aus Rührmasse";17814;23;0;102;0;758;0;0;125;23;90;22929;17056;0;22929;0;0
"Geflügelfleischkäse";47;121;0;128;0;0;0;0;249;0;0;6;47;0;6;0;0
"Kichererbsen reif gekocht";840;168;0;168;0;0;0;0;336;1264;840;14788;840;0;14788;0;0
"Möhrensalat mit Zitronenmarinade (Zubereitung Haushalt)";2540;2918;0;1582;0;0;0;57;4500;0;0;241;2540;204;241;261;0
"Kochwurstpasteten";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Haferflocken gegart";184;0;0;0;0;0;14;0;0;0;142;13817;170;0;13817;0;0
"Blutorangen";3399;2571;0;2280;0;0;0;0;4851;0;0;0;3399;0;0;0;0
"Weißbrote";885;50;0;52;0;0;13;0;102;30;196;46896;872;0;46896;0;0
"Pecannuss geröstet";6476;0;0;720;0;0;0;0;720;0;0;7194;6476;0;7194;0;0
"Rotkohl Konserve";221;1127;0;818;0;0;0;0;1945;0;0;45;221;0;45;0;0
"Schwein Schnitzel (mittelfett) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Weizenfladenbrot";885;50;0;52;0;0;13;0;102;30;196;46896;872;0;46896;0;0
"Getreideflocken";1012;0;0;0;0;0;63;0;0;0;633;61645;949;0;61645;0;0
"Geflügelbockwurst";54;136;0;143;0;0;0;0;279;0;2;6;54;0;6;0;0
"Mangold frisch";290;638;0;1537;0;0;0;0;2175;0;0;435;290;0;435;0;0
"Walnuss frisch";6890;0;0;0;0;0;0;0;0;0;0;3710;6890;0;3710;0;0
"Brötchen-Haferbrötchen";1650;229;0;334;0;0;1158;0;563;37;146;42886;492;0;42886;0;0
"Pistazie";2310;0;0;0;0;0;0;0;0;0;0;9240;2310;0;9240;0;0
"Jagdwurst Pastete";67;24;0;52;0;29;0;268;76;5;29;7014;38;0;7014;268;0
"Schwarzwälder Bauernwürstle";12;49;0;61;0;0;0;0;110;0;0;14;12;0;14;0;0
"Zuckermais Konserve abgetropft";505;126;0;379;0;0;50;126;505;211;126;11368;455;0;11368;126;0
"Mozzarella 30% Fett i. Tr.";900;0;0;0;0;900;0;0;0;0;700;0;0;0;0;0;0
"Rotwein mittel Qualitätswein";0;953;0;864;0;0;0;7;2376;0;0;7;0;10;0;17;0
"Kokosblütenzucker";86510;1770;0;1720;0;0;0;0;3490;0;4000;0;86500;0;0;0;0
"Fischstäbchen paniert tiefgefroren";423;6;0;28;0;0;0;0;34;5;26;12561;423;0;12561;0;0
"Hühnerei Eiweiß";0;0;0;700;0;0;0;0;700;0;0;0;0;0;0;0;0
"Kartoffelchips (verzehrsfertig)";812;406;0;609;0;0;0;0;1015;0;0;38773;812;0;38773;0;0
"Blutpreßsack";102;213;0;260;5;0;0;0;473;0;50;30;102;0;25;0;0
"Broccoli gegart";355;673;0;746;0;0;0;0;1419;0;0;94;355;0;94;0;0
"Buchweizen Vollkornmehl";269;67;0;67;0;0;0;0;134;0;0;66737;269;0;66737;0;0
"Weißkohl frisch";333;1872;0;1872;0;0;0;0;3744;0;0;83;333;0;83;0;0
"Debreziner";15;98;0;115;0;0;0;0;213;0;0;10;15;0;10;0;0
"Natürliches Mineralwasser still";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Regenbogenforelle frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Buttermilch";4010;0;0;0;0;4010;0;0;0;0;0;0;0;0;0;0;0
"Joghurt mit Müsli";7874;559;802;469;0;2368;24;0;1830;51;69;7404;5482;14;7404;14;0
"Schwein Bratenfleisch (mittelfett) frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Matjeshering frisch Fischzuschnitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chili con carne (Zubereitung Haushalt)";112;279;0;279;66;0;0;0;558;195;191;1863;112;0;1797;0;0
"Eierteigwaren gegart";98;24;0;24;0;0;0;0;48;0;98;24173;98;0;24173;0;0
"Heidelbeere";289;4070;0;2997;0;0;0;0;7097;0;0;0;289;7;0;14;7
"Gänsepresskopf";60;329;0;383;0;0;0;0;712;0;0;32;60;0;32;0;0
"Bratkartoffeln (Zubereitung Haushalt)";328;225;0;346;0;0;0;0;571;0;111;11127;328;0;11127;0;0
"Erdnussmus";4244;0;0;0;0;0;0;0;0;0;0;6367;4244;0;6367;0;0
"Rind Fett (Talg)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kürbissuppe (Zubereitung Haushalt)";424;1058;0;990;0;0;0;8;2048;0;0;424;424;0;424;13;5
"Schwein Speck gekocht geräuchert";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rind Steak (mittelfett) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rinderleber gebraten (Zubereitung Haushalt)";27;19;0;23;5372;20;0;0;42;1;5;6560;7;0;1188;0;0
"Schnittsalat (Blatt- Pflücksalat)";532;1120;0;1120;0;0;0;0;2240;0;0;28;532;0;28;0;0
"Kalbsleberwurst Konserve";75;216;0;254;897;0;0;0;470;0;63;904;75;0;7;0;0
"Hanfsamen geschält";2800;0;0;0;0;0;0;0;0;0;0;0;2800;0;0;0;0
"Mais Grieß";1328;74;0;74;0;0;0;0;148;0;295;71986;1328;0;71986;0;0
"Butterkeks";5605;9572;0;8618;0;4731;0;0;18190;243;607;37414;874;0;37414;0;0
"Sesamöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Buchweizenbrötchen";1034;52;0;53;0;0;14;0;105;0;192;48236;1020;0;48236;0;0
"Weizen Grieß";689;69;0;69;0;0;0;0;138;0;413;67670;689;0;67670;0;0
"Geflügelteewurst";11;83;0;101;6;0;0;0;184;0;0;15;11;0;9;0;0
"Broccoli frisch";477;904;0;1003;0;0;0;0;1907;0;0;126;477;0;126;0;0
"Rosenkohl frisch gegart";714;584;0;648;0;0;0;0;1232;0;0;216;714;0;216;0;0
"Tilsiter Vollfettstufe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kantalupe roh";9498;1302;0;1600;0;0;0;0;2902;0;0;0;9498;0;0;0;0
"Dinkel Vollkornmehl";3580;100;0;180;0;0;3040;0;280;0;382;57000;540;0;57000;0;0
"Batate (Süßkartoffel) gegart";3064;632;0;758;0;0;0;0;1390;0;0;18779;3064;0;18779;0;0
"Kaiserbrötchen";1533;224;0;308;0;0;1028;0;532;192;180;45233;505;0;45233;0;0
"Pommes Frites tiefgefroren gebacken";387;194;0;291;0;0;0;0;485;0;0;18516;387;0;18516;0;0
"Broccoli tiefgefroren";499;945;0;1048;0;0;0;0;1993;0;0;132;499;0;132;0;0
"Chiasamen";500;0;0;0;0;0;0;0;0;0;4700;0;500;0;0;0;0
"Rind, Schwein Hackfleisch gegart";0;0;0;0;411;0;0;0;0;0;0;411;0;0;0;0;0
"Weizen Vollkorn";610;61;0;61;0;0;0;0;122;170;366;59872;610;0;59872;0;0
"Brühwurst grobgekuttert (umgerötet)";16;53;0;63;60;0;0;0;116;0;0;79;16;0;19;0;0
"Avocado roh";0;0;0;1370;0;0;0;0;1370;0;0;0;0;0;0;0;0
"Leberpastete mit Champignons";55;143;0;176;578;0;0;78;319;0;41;583;55;0;5;78;0
"Hühnerei Eigelb frisch gegart";0;0;0;293;0;0;0;0;293;0;0;0;0;0;0;0;0
"Sahne";3200;0;0;0;0;3200;0;0;0;0;0;0;0;0;0;0;0
"Vollkornbrot mit Leinsamen";630;58;0;65;0;0;88;0;123;0;344;34926;542;0;34926;0;0
"Reiswurst";21;69;0;80;66;0;0;0;149;0;0;13754;21;0;13688;0;0
"Teewurst grob";7;71;0;88;0;0;0;0;159;0;0;8;7;0;8;0;0
"Hirse Vollkorn gekocht";575;0;0;0;0;0;0;0;0;269;273;23805;575;0;23805;0;0
"Trüffelleberwurst";78;216;0;267;842;0;0;184;483;0;60;849;78;0;7;184;0
"Johannisbeere schwarz Fruchtsaft";17288;4240;0;3237;0;0;0;0;7477;8;0;0;17288;0;0;0;0
"Löwenzahn roh";519;556;0;1274;0;0;0;0;1830;0;0;91;519;0;91;0;0
"Graubrot-Roggenmischbrot mit Sauermilch";2847;329;0;486;0;381;1891;0;815;82;76;40884;575;0;40884;0;0
"Brathähnchen Schenkel gegrillt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Würfelpastete";17;104;0;124;5;0;0;0;228;0;0;16;17;0;11;0;0
"Mandarine Konserve abgetropft";16950;677;0;882;0;0;0;0;1559;10;0;0;16950;0;0;0;0
"Bremer Pinkel";344;124;0;176;229;0;17;0;300;0;245;16988;327;0;16759;0;0
"Schokokeks glutenfrei";17458;11560;0;54;0;5500;0;0;11614;234;23;37245;11958;0;37245;0;0
"Polenta (gebackener Maisbrei) (Zubereitung Haushalt)";378;43;0;46;0;0;0;0;89;0;75;18440;378;0;18440;0;0
"Linsen reif Mehl";2546;0;0;0;0;0;0;0;0;2458;5092;43281;2546;0;43281;0;0
"Tomaten Gemüsesaft";0;1647;0;1214;0;0;0;0;2861;0;0;100;0;0;100;0;0
"Mangold frisch gegart";252;555;0;1338;0;0;0;0;1893;0;0;379;252;0;379;0;0
"Rindfleischsülze";23;28;0;44;26;0;0;0;72;0;27;89;23;0;63;0;0
"Vollkornbrötchen allgemein";428;43;0;590;0;0;0;0;633;0;256;41978;428;0;41978;0;0
"Salatsoße (Zubereitung Haushalt)";2291;362;0;443;0;0;0;0;805;1;0;288;2291;0;288;0;0
"Mandel bitter roh";5677;0;0;0;0;0;0;0;0;0;0;0;5677;0;0;0;0
"Gerste Rollgerste (grobe Graupen)";1916;142;0;142;0;0;710;0;284;0;355;68405;1206;0;68405;0;0
"Creme, Schmand 20% Fett";3600;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0
"Frischkäse mit Kräutern Doppelrahmstufe";2304;48;0;48;0;2304;0;0;96;0;0;0;0;0;0;0;0
"Bulgur";689;69;0;69;0;0;0;0;138;0;413;67670;689;0;67670;0;0
"Schwein Speck durchwachsen (Frühstücksspeck)";852;0;0;0;0;0;0;0;0;0;0;0;852;0;0;0;0
"Schinken-Käsepastete";383;42;0;49;0;0;0;0;91;0;0;4;383;0;4;0;0
"Westfälinger";10;75;0;92;0;0;0;0;167;0;0;19;10;0;19;0;0
"Aalrauchmettwurst";9;96;0;117;0;0;0;0;213;0;0;12;9;0;12;0;0
"Baguette";933;53;0;55;0;0;14;0;108;32;206;49404;919;0;49404;0;0
"Schweinskopfwurst";13;66;0;78;0;0;0;0;144;0;0;6;13;0;6;0;0
"Schafskäse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mohn gemahlen geschrotet";85;0;0;0;0;0;0;0;0;0;0;4158;85;0;4158;0;0
"Vollkornteigwaren gegart";261;26;0;26;0;0;0;0;52;0;157;25586;261;0;25586;0;0
"Cervelatwurst IA und fein";9;92;0;111;0;0;0;0;203;0;0;11;9;0;11;0;0
"Kabeljau (Dorsch) gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Geflügelsalami";88;91;0;119;0;0;0;0;210;0;0;99;88;0;99;0;0
"Hausmacher Sülze Konserve";10;56;0;66;103;0;0;0;122;0;0;116;10;0;13;0;0
"Kuhmilch";4760;0;0;0;0;4760;0;0;0;0;0;0;0;0;0;0;0
"Knoblauchwurst, Cabanossi";9;93;0;115;57;0;0;0;208;0;0;68;9;0;11;0;0
"Vollkornteigwaren eifrei";606;61;0;61;0;0;0;0;122;0;364;59508;606;0;59508;0;0
"Lauchzwiebel gebraten (zubereitet ohne Fett)";1778;1956;0;3112;0;0;0;0;5068;0;2045;0;1778;0;0;0;0
"Lammfleisch Cervelatwurst";65;141;0;168;0;0;0;0;309;0;0;54;65;0;54;0;0
"Spargel frisch gegart";239;909;0;446;0;0;0;0;1355;0;0;0;239;0;0;0;0
"Aprikose roh";5120;870;0;1730;0;0;0;0;2600;0;0;0;5120;800;0;800;0
"Flohsamenschalen";100;0;0;100;0;0;0;0;100;0;8000;0;100;0;0;0;0
"Paniermehl";4411;0;0;0;0;0;0;0;0;0;0;69104;4411;0;69104;0;0
"Ente Fleisch mit Haut frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Teigwaren (allgemein) Schnitt-, Bandnudeln";273;68;0;68;0;0;0;0;136;0;273;67608;273;0;67608;0;0
"Ananas frisch";8278;2585;0;2257;0;0;0;0;4842;0;0;0;8278;0;0;0;0
"Hirschpastete";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vollkornkeks";9756;56;0;58;0;0;9202;0;114;0;358;41534;554;0;39909;0;0
"Limonaden koffeinhaltig";5920;2080;0;2850;0;0;0;0;4930;0;0;0;5920;0;0;0;0
"Roggen Flocken";901;60;0;60;0;0;0;0;120;0;601;58464;901;0;58464;0;0
"Weizen Kleie";1780;50;0;90;0;0;30;0;140;1340;1505;13430;1750;0;13430;0;0
"Erdkirsche Konfitüre";63960;1083;0;1083;0;0;0;0;2166;25;0;0;63960;0;0;0;0
"Passionsfrucht - Maracuja frisch";4341;3965;0;5134;0;0;0;0;9099;0;0;0;4341;0;0;0;0
"Schinkenmettwurst";7;74;0;89;0;0;0;0;163;0;0;10;7;0;10;0;0
"Rotbarsch frisch gebraten Fischzuschnitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Graubrot-Roggenbrot";2992;416;0;613;0;0;2362;0;1029;0;24;39778;630;0;39778;0;0
"Kohlrübe frisch";650;2000;0;2250;0;0;0;0;4250;0;0;100;650;0;100;0;0
"Haifischöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schwarze Bohnen roh";2120;0;0;0;0;0;0;0;0;6000;10000;0;2100;0;50240;0;0
"Apfel";3250;7323;0;2590;0;0;0;0;9913;0;0;766;3250;421;766;421;0
"Rosenkohl gegart";714;584;0;648;0;0;0;0;1232;0;0;216;714;0;216;0;0
"Blauschimmel Rahmstufe";1000;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0
"Rind Brust (Spannrippe) (fett) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
