"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Preiselbeere Konfitüre";5;8;10;3;62;16;6;5;3;4;11;4;2;46;7;4;2;5;4;2;8;6
"Tomatensuppe (Zubereitung Haushalt)";40;33;70;9;272;224;51;6;15;25;42;32;9;480;29;61;2;34;26;6;16;30
"Gerste Graupen";425;483;560;135;4111;2363;367;100;174;386;666;328;154;5346;502;1148;33;483;328;135;357;463
"Kräutertee (Getränk)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kalb Muskelfleisch";1321;1385;2024;234;11544;3408;937;158;724;1108;1725;1853;533;9330;873;873;53;767;937;234;724;1214
"Vollkornmehl";399;513;559;228;4471;3459;525;82;217;445;764;308;171;6825;525;1301;27;582;331;114;342;513
"Grünkern Schrot";377;484;527;215;4218;3259;495;125;204;420;721;291;161;6434;495;1227;42;549;312;108;323;484
"Oliven schwarz";103;222;213;42;1104;462;114;30;62;101;147;81;46;1085;99;92;10;101;79;33;73;119
"Geflügelwiener Würstchen erwärmt";1216;1367;2020;230;10831;3340;1103;106;747;1069;1623;1849;558;9582;780;1005;35;898;877;201;376;1154
"Jagdwurst (Süddeutsche und Norddeutsche)";926;994;1550;202;8630;2694;875;119;572;774;1178;1428;420;7526;673;758;40;723;740;186;605;858
"Margarine";6;7;14;2;106;40;4;0;5;11;18;15;5;92;9;18;0;10;9;3;9;13
"Sauerkraut Konserve abgetropft";55;104;118;17;521;286;35;20;28;42;71;63;14;830;42;260;7;76;46;14;25;55
"Grünkohl frisch gegart";154;188;256;37;1357;307;123;26;65;112;203;170;41;1095;116;143;9;112;112;41;102;170
"Französische Schweinefleisch-Terrine";959;1026;1605;207;8918;2783;906;107;588;802;1218;1473;432;7794;698;792;36;749;766;193;625;890
"Cabanossi";867;923;1413;177;7905;2425;751;83;514;725;1112;1297;378;6736;610;662;28;618;666;167;535;801
"Couscous gekocht";175;225;244;101;1950;1501;230;9;97;193;331;133;74;2969;230;566;3;253;143;51;147;225
"Butterkäse";586;716;1345;87;11285;4535;347;10;521;1107;2040;1628;499;10306;1063;2365;3;1128;890;282;1085;1367
"Rind Fett";50;52;76;9;433;128;35;0;27;42;65;68;20;351;33;33;0;29;35;9;27;46
"Orange, Apfelsine";53;69;121;11;340;100;100;20;19;27;24;50;21;457;33;49;7;34;16;10;17;43
"Sojaeiweiß texturiert (""Sojafleisch"")";2829;5244;7590;1104;33396;13248;2829;360;1587;3105;4968;4278;897;33879;3105;3864;120;3519;2691;759;2415;3243
"Wollwurst, Geschwollene";671;721;1125;147;6261;1954;635;80;414;561;854;1038;305;5459;489;549;27;525;537;134;439;622
"Lachs frisch";1178;1104;1803;184;9550;2613;791;170;478;883;1435;1695;478;7930;699;699;57;846;828;184;607;975
"Bierschinken Konserve";1004;1078;1680;219;9360;2921;949;135;620;839;1277;1551;456;8159;730;821;45;784;803;200;656;931
"Bauernleberwurst";938;985;1566;222;8988;2547;887;148;604;783;1269;1472;429;7532;752;827;49;767;760;198;589;925
"Fleischkäse im Teigmantel";800;861;1323;195;7564;2619;750;94;484;690;1064;1185;361;6927;619;774;31;661;641;166;528;770
"Bratwurst geräuchert";1135;1221;1900;248;10594;3307;1075;136;701;950;1446;1751;516;9234;827;930;45;887;909;228;744;1053
"Milchschokolade Vollmilch-Nuß";294;399;640;96;3844;1509;238;13;165;393;635;455;155;3727;347;621;4;425;309;108;310;472
"Basmatireis gekocht";208;238;324;46;1592;658;170;33;71;141;274;121;71;1705;163;175;11;170;116;38;109;204
"Vollkornteigwaren";469;603;657;268;5254;4059;616;80;255;523;898;362;201;8012;616;1528;27;683;389;134;402;603
"Brie";454;554;1042;84;8735;3511;269;10;437;974;1596;1193;386;7981;773;1831;3;874;689;218;773;1058
"Pistazie geröstet und gesalzen";773;1630;1615;333;8772;3721;825;0;386;737;1264;930;298;8689;895;720;0;1035;509;175;544;1071
"Magerquark";365;446;837;68;7018;2822;216;0;392;729;1277;1013;311;6414;621;1472;0;702;554;176;621;810
"Pistazie geröstet";788;1663;1647;340;8949;3795;841;0;394;752;1289;949;304;8861;913;734;0;1056;519;179;555;1092
"Milchspeiseeis Vanille";76;76;169;18;1184;464;48;0;55;130;214;162;53;1091;105;215;0;119;94;30;105;142
"Rindergulasch ""deutsche Art"" (Zubereitung Haushalt)";454;515;723;86;4050;1248;331;45;245;383;598;639;183;3360;310;325;15;279;322;87;261;421
"Zwiebelleberwurst einfach";740;724;1110;133;6113;1712;904;131;362;525;948;944;275;5745;506;713;44;566;538;133;400;625
"Spinat tiefgefroren gegart";157;165;265;35;1497;348;142;74;65;142;235;192;52;1156;147;126;25;118;133;45;118;168
"Waldpilze";106;106;97;85;981;146;57;50;42;74;136;106;21;585;74;116;17;63;127;30;95;85
"Rind Steak (mager) frisch gegart";1933;2026;2962;343;16899;4988;1372;153;1060;1621;2525;2714;779;13655;1278;1278;51;1122;1372;343;1060;1778
"Leberwurst Aachener Frankfurter";796;833;1327;192;7676;2119;751;128;516;663;1093;1255;364;6366;653;715;43;658;646;170;494;797
"Kidney-Bohnen";1006;1400;2946;197;11395;3585;933;147;688;1007;1842;1768;270;10705;1276;860;49;1375;982;221;614;1130
"Milchspeiseeis";76;76;169;18;1184;464;48;0;55;130;214;162;53;1091;105;215;0;119;94;30;105;142
"Dinkelvollkornbrötchen";399;594;594;277;4819;3154;450;111;269;436;746;364;187;6148;535;1024;37;527;393;133;376;509
"Grahambrötchen";249;280;347;162;2863;2425;288;47;141;293;530;174;108;4576;358;876;16;391;215;75;202;325
"Sojabohnen reif frisch gegart";645;1085;1777;252;7768;2878;629;81;362;739;1224;881;252;7564;849;833;27;802;645;189;535;755
"Schokoladenpudding mit Vanillesoße (Zubereitung Großküche)";104;109;227;27;1528;598;69;1;69;164;275;202;67;1427;137;272;0;157;121;40;133;184
"Kaffee mit Milch und Zucker (Getränk)";9;5;17;5;95;61;10;0;6;10;19;9;2;121;11;17;0;7;6;1;9;12
"Maultaschen ""schwäbisch"" (Zubereitung Haushalt)";418;463;668;138;4145;1601;343;42;216;406;630;508;191;3957;390;511;14;416;343;97;285;478
"Teigwaren aus Hartgrieß";375;438;525;275;4614;4260;463;60;225;475;875;238;175;7798;600;1525;20;650;338;125;325;525
"Leberwurst fein";811;848;1351;200;7877;2126;767;140;532;675;1127;1285;371;6473;681;740;47;678;661;176;499;822
"Margarine halbfett Linolsäure <30%";51;54;115;13;839;317;30;0;40;91;149;120;37;742;72;147;0;82;69;21;72;101
"Semmelbrösel";354;455;495;202;3962;3057;465;60;192;394;677;273;152;6037;465;1151;20;515;293;101;303;455
"Linsen gekeimt frisch";351;612;1440;333;4446;1269;315;12;252;324;630;711;99;4194;441;351;4;468;324;72;252;396
"Tahini aus rohem Sesam";837;2244;1514;338;9243;3651;908;80;463;677;1247;516;534;8478;837;695;27;873;677;249;588;873
"Edelkastanien (Marone) gegart";201;211;520;32;1435;388;155;0;84;118;177;158;42;1574;116;158;0;152;148;32;148;169
"Gemüsepaprika grün frisch";47;44;166;21;399;159;42;10;18;39;54;50;11;514;44;47;3;53;41;12;23;42
"Vollkornbrötchen mit Sonnenblumenkernen";315;435;477;170;3477;2504;412;67;169;347;578;247;133;5044;397;903;22;433;260;90;254;397
"Wurstkuchen mit Mürbeteig";698;777;1194;197;7768;2953;600;61;451;763;1192;1076;363;7272;685;1068;20;759;644;180;578;862
"Meerrettich frisch";207;157;272;39;1397;308;151;30;56;132;234;160;34;1193;143;132;10;123;120;42;101;179
"Pommes frites mit Mayonnaise";92;126;338;25;1012;366;79;15;37;99;141;137;37;1059;98;85;5;99;84;32;71;125
"Vollkornbrot-Weizen, Roggenvollkornschrottoastbrot";336;363;522;146;3350;2176;377;76;171;332;558;297;125;4655;367;844;25;400;276;84;238;393
"Heidelbeere Konfitüre";9;11;17;2;71;28;9;7;3;7;13;4;4;78;8;8;2;7;6;1;3;9
"Linsensuppe (Zubereitung Haushalt)";252;343;548;54;2554;838;237;42;146;232;360;394;87;2337;228;223;14;239;215;53;172;270
"Gorgonzola";524;640;1203;78;10087;4055;310;10;466;989;1823;1455;446;9216;951;2115;3;1009;795;252;970;1222
"Miso";536;609;1166;137;4833;1864;462;60;263;494;798;578;126;5404;483;756;20;620;368;95;399;483
"Brühwurst mit Fleischeinlage (nicht umgerötet)";1003;1066;1604;197;9122;2662;850;163;566;858;1349;1471;417;7538;711;731;54;688;761;190;584;952
"Geflügelmortadella fettarm";797;767;1236;157;6678;2013;736;136;369;684;967;1092;338;5890;502;579;45;529;564;153;427;658
"Schweinebauch in Aspik";1067;1068;1465;159;8195;2474;1100;102;494;771;1208;1321;371;7556;626;864;34;586;664;160;489;864
"Linsen reif Konserve";251;461;672;53;2876;965;240;50;140;263;421;409;47;2678;292;246;17;304;234;53;187;316
"Trüffelmosaikpastete";894;921;1462;190;8124;2520;837;104;557;696;1145;1326;380;7140;656;742;35;685;691;174;553;835
"Frikadelle (Zubereitung Großküche)";1188;1273;1886;249;10791;3361;949;126;674;1014;1565;1701;507;9130;848;918;42;828;894;228;712;1126
"Mais";641;350;529;128;3980;1615;307;60;231;307;1068;222;162;4270;410;760;20;418;307;60;325;410
"Dosenschinken";1071;1150;1792;233;9992;3115;1013;138;662;896;1362;1657;487;8705;779;876;46;838;858;215;701;992
"Champignonpastete";977;1049;1620;211;9057;2812;916;128;600;811;1237;1499;437;7888;708;804;43;759;776;194;633;902
"Kichererbsen";336;625;914;94;3962;1249;312;150;211;437;586;531;86;3538;375;328;50;399;305;71;274;367
"Sardine Konserve in Öl, abgetropft";1703;1330;2469;240;12370;3234;1320;480;530;1120;1910;2240;740;10800;890;904;160;1170;1130;210;730;1300
"Eierpastete";923;1006;1548;219;8716;2635;840;103;547;792;1201;1369;424;7459;704;744;34;769;746;190;609;909
"Pflaumen frisch";22;10;189;3;113;28;9;20;10;12;16;13;5;289;13;26;7;15;12;0;5;14
"Gurke";20;41;35;3;190;172;21;8;8;18;25;26;5;278;14;13;3;17;16;4;10;20
"Landjäger Würste";881;938;1420;176;7991;2440;743;77;517;737;1134;1307;380;6757;614;661;26;612;670;168;536;814
"Rotkohl Konserve gegart";50;95;108;16;478;260;32;42;26;38;66;58;13;757;38;238;14;69;42;13;23;50
"Buschbohnen grün frisch";105;100;287;24;996;256;91;42;53;96;151;136;31;964;91;96;14;129;91;29;67;127
"Plockwurst";1500;1591;2393;294;13507;4097;1225;162;869;1256;1938;2198;639;11321;1036;1100;54;1006;1126;281;894;1385
"Rote Rübe frisch";35;31;110;17;467;398;31;20;18;38;61;80;28;650;46;38;7;38;44;12;54;38
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";991;1158;1662;254;9917;3051;887;83;555;996;1457;1576;488;8380;788;975;28;814;799;214;681;951
"Leinsamen geschrotet";1078;2261;2251;429;11075;4752;1392;0;524;963;1371;921;450;11451;1120;858;0;1120;880;397;597;1162
"Lebkuchenteigbackwaren";391;891;867;154;4382;1807;406;17;193;390;627;315;151;4290;468;409;6;410;303;86;283;521
"Champignonpastete mit Mürbeteig";593;645;972;147;5628;2015;563;78;362;514;791;878;266;5255;464;612;26;500;477;123;394;567
"Schweinegrillschnitten                   ";1157;1245;1938;252;10778;3370;1093;157;712;967;1474;1780;523;9408;840;947;52;903;925;232;755;1073
"Schwein Filet (mager) frisch";1210;1298;2024;264;11286;3520;1144;150;748;1012;1540;1870;550;9834;880;990;50;946;968;242;792;1122
"Filetblutwurst";1275;1290;2058;267;11466;3542;1188;83;798;961;1637;1866;529;10100;938;1066;28;971;971;244;770;1195
"Hanfnussöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apfel-Streuselkuchen aus Mürbeteig fettreich";70;77;153;38;792;529;67;15;36;82;139;60;33;1112;93;188;5;105;61;21;56;96
"Hühnerei Vollei";710;826;1200;284;7520;1548;400;5;258;787;1082;735;387;5251;748;477;2;916;658;181;529;1045
"Sardine Konserve abgetropft";1352;1107;1961;186;10560;2568;1048;341;389;1005;1580;1925;541;8576;770;718;114;929;946;202;684;1225
"Cervelatwurst";1142;1219;1865;236;10462;3219;1004;133;682;955;1465;1719;502;8942;809;885;44;827;885;221;713;1056
"Kalbfleischwurst";788;835;1253;152;7078;2143;637;85;455;659;1018;1153;334;5917;542;573;28;523;588;148;467;727
"Hirse roh";1147;317;548;128;4340;1917;282;62;163;471;1155;240;214;6265;394;933;21;1438;359;154;223;522
"Eisbergsalat";43;48;110;7;438;122;40;11;16;65;68;50;12;402;45;52;4;35;38;11;28;50
"Petersilienblatt frisch";301;177;470;18;2007;390;204;40;97;204;296;275;27;1980;239;425;13;190;182;71;124;297
"Mandelmus";603;1795;1508;241;7087;3681;799;40;347;573;1010;407;181;7918;784;769;13;558;422;121;437;769
"Paranuss";489;1903;1087;394;7393;2691;584;22;313;503;965;381;815;6129;516;666;7;612;367;149;394;693
"Zander tiefgefroren";1229;1152;1882;192;9964;2726;826;110;499;922;1498;1764;499;8276;730;730;37;883;864;192;634;1018
"Brie Vollfettstufe";567;693;1302;105;10920;4389;336;10;546;1218;1995;1491;483;9975;966;2289;3;1092;861;273;966;1323
"Erdnussbutter, -mus";1018;3184;3158;287;12293;5481;1592;70;653;887;1775;887;235;13676;1305;1122;23;1305;653;261;1096;1070
"Fenchel";92;74;184;18;667;276;51;0;28;74;111;92;22;732;55;74;0;55;64;18;37;74
"Lamm Leber roh";1142;1142;1889;307;11463;2657;1076;210;791;944;1713;1845;527;8916;1076;1142;70;1010;944;264;658;1252
"Quark";365;446;837;68;7018;2822;216;0;392;729;1277;1013;311;6414;621;1472;0;702;554;176;621;810
"Apfelkuchen aus Rührmasse";149;168;276;71;1633;731;114;15;66;170;262;140;75;1733;177;255;5;208;135;41;116;212
"Kuhmilch Trinkmilch fettarm";112;112;252;27;1761;690;71;0;82;194;321;241;78;1622;156;320;0;177;139;44;156;211
"Puderzucker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brathähnchen Schenkel roh";1310;1270;2070;270;11110;3380;1280;110;560;1170;1620;1860;580;9840;830;960;37;840;920;260;700;1070
"Pökelwaren Eisbein";947;1017;1584;207;8835;2756;895;101;586;793;1206;1459;431;7697;689;775;34;740;758;189;621;879
"Granatapfel frisch";32;25;63;4;223;66;25;15;11;21;35;35;7;239;18;25;5;28;21;7;14;25
"Dinkelbrot (Vollkornbrot)";396;570;615;231;4555;2878;454;106;244;427;713;365;180;5817;500;964;35;510;365;122;343;495
"Distelöl (Safloröl)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pute frisch";1112;1298;1854;268;10754;3090;1009;170;618;1071;1545;1792;536;8816;824;927;57;824;865;227;721;989
"Chinakohl frisch gegart";65;68;82;10;472;273;31;26;20;64;66;59;11;510;37;23;9;36;42;13;28;54
"Bleichsellerie Gemüsesaft";58;42;94;11;481;104;53;72;21;42;75;63;16;398;53;47;24;42;47;16;32;63
"Zwetschge Konfitüre";8;4;69;1;42;10;3;7;4;4;6;5;2;106;5;10;2;6;4;0;2;5
"Hering frisch Fischzuschnitt";1310;1037;1820;182;9519;2275;1001;210;491;892;1456;1639;528;7771;728;637;70;728;746;182;637;1001
"Erbsen grün tiefgefroren gegart";286;659;687;76;3209;1008;264;177;146;299;431;417;70;2766;278;243;59;278;270;62;188;313
"Milchreis (Zubereitung Gastronomie)";167;164;320;36;2000;790;115;17;83;211;362;235;84;1906;187;312;6;202;159;47;180;252
"Reisbrot";287;304;401;157;2945;2095;270;54;136;300;535;198;113;4154;346;736;18;365;225;72;212;347
"Weizenkeimöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pinienkern";1224;4488;2112;408;13176;3960;1176;0;528;888;1680;864;384;10704;888;1248;0;984;720;288;840;1200
"Dattel frisch";102;68;128;46;620;216;96;15;30;48;90;60;22;718;56;108;5;68;52;50;30;68
"Hirse Korn geschält roh";1340;370;640;150;5070;2240;330;62;190;550;1350;280;250;7320;460;1090;21;1680;420;180;260;610
"Edelkastanien (Maronen) geröstet";180;188;464;28;1278;347;139;0;76;106;158;141;37;1406;104;141;0;135;131;28;131;150
"Tee grün (Getränk)";7;7;22;7;21;36;7;0;0;0;0;0;0;79;0;0;0;7;0;7;0;0
"Schlackwurst";938;1000;1522;190;8551;2618;806;95;555;786;1206;1402;408;7261;659;713;32;664;720;180;577;868
"Brathähnchen Brustfilet gebraten (zubereitet ohne Fett)";1522;1775;2535;366;14704;4227;1381;194;846;1465;2113;2451;732;12060;1127;1268;65;1127;1183;310;985;1351
"Graubrot-Roggenmischbrot mit Sonnenblumenkernen";268;319;442;130;2607;1747;301;47;137;260;429;206;96;3685;290;628;16;299;215;67;156;302
"Wassermelone roh";24;84;56;3;357;90;15;20;9;28;25;89;9;243;21;34;7;24;39;10;16;24
"Knäckebrot-Roggenmischbrot mit Leinsamen";440;529;707;207;4213;2749;481;71;213;410;680;336;158;5853;469;987;24;489;352;114;254;491
"Rind Niere frisch";816;942;1382;220;8227;1931;926;270;393;738;1364;1178;314;6688;738;879;90;754;691;204;534;911
"Porree frisch gegart";91;115;171;13;757;344;74;45;36;67;113;113;25;821;63;67;15;74;74;16;38;84
"Kartoffeln ungeschält roh";83;116;336;21;927;359;74;16;33;90;127;127;33;1014;93;79;5;83;76;30;65;116
"Haselnuss geröstet";697;2069;1496;295;7235;3498;687;0;372;524;1002;428;191;7550;647;524;0;648;438;191;391;687
"Dattel";102;68;128;46;620;216;96;15;30;48;90;60;22;718;56;108;5;68;52;50;30;68
