"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Weißer Fleischkäse";720;773;1205;156;6719;2097;681;85;445;602;917;1116;327;5855;524;590;28;562;576;144;471;668
"Schwein Rücken (Kotelett) (mittelfett) frisch gegart";1581;1694;2643;345;14738;4596;1494;196;977;1321;2011;2441;719;12843;1149;1293;65;1236;1264;317;1034;1466
"Bratkartoffeln (Zubereitung Gastronomie)";72;100;287;18;807;313;63;14;29;79;111;109;29;878;82;70;5;73;66;27;57;100
"Xylit";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Suppenhuhn Klein frisch gegart";1262;1473;2104;305;12203;3508;1146;209;702;1215;1754;2030;608;10008;936;1052;70;936;982;257;818;1123
"Brötchen-Weizenmischbrötchen";285;303;410;169;2968;2235;297;52;151;303;522;215;113;4429;351;829;17;373;236;76;190;339
"Pizza tonno (Zubereitung Gastronomie)";229;223;395;89;2202;1362;208;43;137;214;362;239;96;2849;219;413;14;242;177;53;156;237
"Haferflocken";790;870;1290;390;6920;3080;850;100;300;610;1130;500;240;7560;780;840;33;710;530;190;570;810
"Kondensmilch 10 % Fett";290;290;651;70;4559;1786;185;0;211;502;828;625;202;4197;405;827;0;458;361;114;405;546
"Mettwurst schnittfeste Gruppe";841;896;1360;169;7647;2337;715;80;495;704;1082;1254;365;6476;588;635;27;588;642;160;514;778
"Reisnudeln";3440;0;0;0;0;0;0;0;0;0;0;0;0;3440;0;0;0;0;0;0;0;0
"Kalbfleisch-Galantine";1578;1656;2421;280;13801;4115;1125;189;867;1324;2059;2213;638;11207;1045;1047;63;921;1121;280;867;1451
"Kabeljau frisch Fischzuschnitt";1114;1044;1705;174;9031;2471;748;110;452;835;1357;1603;452;7499;661;661;37;800;783;174;574;922
"Spätzle (Zubereitung Gastronomie)";219;254;344;117;2465;1296;183;13;100;256;405;190;112;2812;279;449;4;321;200;63;174;315
"Wildbret-Galantine                     ";1226;1411;2019;268;11445;3568;1128;122;615;1089;1687;1825;557;9951;891;1083;41;927;981;245;770;1106
"Champignon Konserve gegart abgetropft";129;183;119;15;964;182;69;69;51;104;111;160;23;719;69;142;23;78;81;21;63;83
"Sprotte frisch";1202;952;1670;167;8733;2088;919;440;451;818;1336;1501;484;7132;668;585;147;668;685;167;585;919
"Buchweizen Vollkorn";435;717;816;181;4118;1541;590;150;190;336;535;499;154;4226;345;381;50;463;354;127;181;499
"Rührei (Zubereitung Haushalt)";596;689;1020;235;6424;1390;337;4;225;675;937;642;328;4568;635;450;1;775;559;155;458;886
