name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Hühnerei Vollei frisch;Eier und Eierprodukte, Teigwaren;154;11,2;0,7;0,7;12,9;0;74,1;0;1,1;0;10,2
Gnocchi gekocht;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;150;0,5;31,9;31,9;3,6;1,9;61;0;0,6;0,4;0,3
Kopfsalat mit Essigmarinade (Zubereitung Haushalt);Menükomponenten;110;11,3;1,1;1,1;0,9;1,2;84,2;0;0,9;0,4;2,8
Salami Kroatische Art;Wurst, Fleischwaren;323;24,7;0,3;0,3;25,6;0,1;44,3;0;5,1;0;10,1
Suppenhuhn Fleisch (mittelfett) frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);257;20,3;0;NA;19;0;59,8;0;0,9;0;8,7
Lyoner Wurst;Wurst, Fleischwaren;267;24,1;0,3;0,3;13;0,1;59;0;3,4;0,1;4,5
Marzipan Rohmasse;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;512;35,2;37,3;37,3;12,2;9,9;3,7;0;1,7;0;0,3
Weintraube weiß frisch;Früchte, Obst und Obsterzeugnisse;71;0,3;15,6;15,4;0,7;0,8;81,3;0;0,5;0,8;3,4
Kleber (Gluten);Cerealien, Getreide und Getreideprodukte, Reis;393;4;7;NA;81;1;6;0;1;0;39,7
Rhabarber frisch;Früchte, Obst und Obsterzeugnisse;13;0,1;1,4;1,4;0,6;2,3;93,7;0;0,6;1,4;5,5
Papaya;Früchte, Obst und Obsterzeugnisse;32;0,1;7,1;7,1;0,5;1,9;89,8;0;0,6;0,1;4,5
Tomatensoße mit Tomatenmark (Zubereitung Gastronomie);Menükomponenten;126;8,2;9,7;9,7;3,3;2,1;74,5;0;1,8;0,3;10,5
Geflügel Döner;Menükomponenten;164;2,6;21,9;21,9;12,8;1,6;59,7;0;1,4;0;5,8
Walnüsse geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;675;65,9;9,6;9,6;13,1;5,6;4;0;1,8;0;5,7
Gouda mind. 45% Fett i. Tr.;Milch, Milcherzeugnisse, Käse;364;30,8;0;NA;21,9;0;40,9;0;2,9;1;18,9
Haferflockenbrei (Zubereitung Haushalt);Menükomponenten;133;5,5;15,6;15,6;4,8;0,5;72,5;0;0,8;0,2;1,8
Kefir entrahmt;Milch, Milcherzeugnisse, Käse;38;0,1;4,2;4,2;3,4;0;90,2;0,5;0,8;0,8;0,3
Lachsschinkenpastete;Wurst, Fleischwaren;250;19,9;0,5;0,5;17,6;0,1;57,5;0;4,3;0;6,6
Mais-Fladenbrot;Brot- und Kleingebäck;222;1,8;45,5;45,5;5,2;1,9;43,6;0;2;0;5,9
Roggen Vollkorn;Cerealien, Getreide und Getreideprodukte, Reis;294;1,7;59,7;59,7;9;14;13,7;0;1,9;0;3,1
Schwein Schinken gekocht geräuchert;Wurst, Fleischwaren;121;4,3;1,1;1,1;19,5;0;71,9;0;3,3;0;10
Blattspinat tiefgefroren;Gemüse und Gemüseerzeugnisse;18;0,3;0,5;0,5;2,6;2,7;91,5;0;1,5;0,8;12,3
Weißkohl (Weißkraut) gegart;Gemüse und Gemüseerzeugnisse;20;0,2;3;NA;1,3;2,8;91,9;0;0,5;0,2;1,7
Maiskeimöl;Fette, Öle, Butter, Schmalz;883;99,9;0;NA;0;0;0,1;0;0;0;0,2
Brathähnchen Brustfilet roh;Fleisch (Wild, Geflügel, Federwild, Innereien);102;0,7;0;NA;23,6;0;74,6;0;1,2;0;12,9
Schweineschmalz, -fett;Fette, Öle, Butter, Schmalz;882;99,7;0;NA;0,1;0;0,1;0;0,1;0;0,1
Plockwurst einfach;Wurst, Fleischwaren;434;38,9;0,4;0,4;21,7;0,1;34,6;0;4,4;0;9,9
Hirse ganzes Korn roh;Cerealien, Getreide und Getreideprodukte, Reis;331;3,6;64;NA;9,6;13;7,5;0;2;0;2,5
Butterschmalz;Fette, Öle, Butter, Schmalz;880;99,5;0;NA;0,3;0;0,2;0;0,1;0;0
Frikadelle (Zubereitung Gastronomie);Menükomponenten;165;8,3;3,6;3,6;19,1;0,5;66,9;0;1,7;0;9,5
Kalb Leber roh;Fleisch (Wild, Geflügel, Federwild, Innereien);87;1,2;4,1;4,1;14,9;0;78,5;0;1,4;0;11,4
Stockwurst;Wurst, Fleischwaren;259;21,5;0,5;0,5;16,5;0,1;58,3;0;3;0,1;6,8
Bier;Alkoholische Getränke;42;0;3,1;3,1;0,5;0;92,2;4;0,2;0;0
Camembert Doppelrahmstufe;Milch, Milcherzeugnisse, Käse;362;33,2;0;NA;16,8;0;46,5;0;3,3;0,2;11,2
Schwein Filet (mager) frisch gegart;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);146;2,2;0;NA;31,1;0;65,4;0;1,3;0;14,7
Schnittkäse;Milch, Milcherzeugnisse, Käse;354;28,3;0;NA;24,8;0;41,9;0;4;1;19,1
Debreziner Konserve;Wurst, Fleischwaren;331;31;0,3;0,3;13,8;0,1;52,2;0;2,5;0,1;5,6
Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt);Menükomponenten;37;2,1;2,8;2,8;1,6;1,2;90,9;0;1,2;0,3;3,4
Eier gekocht, gesalzen (Zubereitung Haushalt);Menükomponenten;154;11,2;0,7;0,7;12,9;0;73,9;0;1,4;0;10,9
Rind Leber roh;Fleisch (Wild, Geflügel, Federwild, Innereien);132;3,7;5,3;5,3;19,2;0;70,3;0;1,6;0;14,6
Krabbe klein (Shrimps) gegart;Fische, Krusten-, Schalen-, Weichtiere;93;1,5;0,8;0,8;18,9;0;77,4;0;1,4;0;9
Wildreis gekocht;Cerealien, Getreide und Getreideprodukte, Reis;134;0,4;26,9;26,9;5,3;2,2;64,8;0;0,4;0;3,8
Sülzwurst hervorhebend;Wurst, Fleischwaren;171;8,3;0,4;0,4;23,5;0,1;64,9;0;2,8;0;9,7
Geflügelbratwurst;Wurst, Fleischwaren;115;2,8;0,3;0,3;21,9;0,1;71;0;3,8;0;10
Weißer Preßkopf;Wurst, Fleischwaren;220;14,2;1,1;1,1;22,2;0,1;54,9;0;7,5;0;9,9
Rind Hackfleisch frisch;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);202;13,6;0,5;0,5;19,7;0;65,2;0;1,1;0;8,8
Sülzkotelett;Wurst, Fleischwaren;119;4,4;0,9;0,9;18,8;0;70,2;0;5,6;0;5,8
Gänseleberkäse getrüffelt;Wurst, Fleischwaren;221;14,2;2,7;2,7;20,7;0;58,8;0;3,4;0,1;12,3
Pommes frites mit Ketchup;Menükomponenten;139;6,2;18;NA;2,1;1,3;69,6;0;2,1;0,6;-7
Mango tiefgefroren;Früchte, Obst und Obsterzeugnisse;63;0,5;13,4;13,4;0,6;1,8;82,6;0;0,5;0,6;-4
Zwiebeln gebraten (zubereitet ohne Fett);Gemüse und Gemüseerzeugnisse;29;0,3;5,2;5,2;1,2;1,5;91,2;0;0,5;0,2;2,1
Schnittkäse Vollfettstufe;Milch, Milcherzeugnisse, Käse;344;27;0;NA;25,3;0;42,7;0;4,1;1;19,4
Zucker braun Rohzucker;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;396;0;97,4;97,4;0;0;2,2;0;0,5;0;2,1
Schinkenwurst Krakauer Art roh;Wurst, Fleischwaren;304;26,5;0,2;0,2;16,8;0,1;52,7;0;3,8;0;6,8
Quark mit Kräutern Fettstufe;Milch, Milcherzeugnisse, Käse;113;4,7;11,8;11,8;5,5;2;74,4;0;1,2;0,4;2,2
Pastete im Brotteig;Wurst, Fleischwaren;222;15,5;0,6;0,6;20,4;0;61,3;0;2,2;0;8,3
Schwein Leber gegart;Fleisch (Wild, Geflügel, Federwild, Innereien);148;5,2;1,1;1,1;24;0;68,4;0;1,3;0;19,2
Lauchzwiebel roh;Gemüse und Gemüseerzeugnisse;42;0,3;8,5;8,5;0,9;2,8;86,6;0;0,7;0,2;5,6
Kartoffelpüree (Zubereitung Gastronomie);Menükomponenten;108;5,6;11,7;11,7;2,3;1,6;77,2;0;1,1;0,5;4,5
Aprikose Konfitüre;Früchte, Obst und Obsterzeugnisse;250;0,1;60,6;60,4;0,3;0,6;37,5;0;0,3;0,5;1,2
Klarer;Alkoholische Getränke;185;0;0;NA;0;0;73,3;26,7;0;0;0,2
Gerste Perlgraupen;Cerealien, Getreide und Getreideprodukte, Reis;339;1,4;71;NA;9,7;4,6;12,2;0;1,2;0;5,9
Lakritze;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;375;0,9;86,2;86,2;4,3;1,9;5,9;0;0,7;0;0,6
Westfälische grobe Mettwurst;Wurst, Fleischwaren;335;28,7;0,2;0,2;19,9;0;47,1;0;4,2;0;7,9
Helle Zungenwurst Konserve;Wurst, Fleischwaren;265;22,3;0,7;0,7;15,9;0,2;57,5;0;3,4;0;6,8
Schalotte roh;Gemüse und Gemüseerzeugnisse;22;0,2;3,3;3,3;1,5;1,5;92,5;0;0,8;0,2;4,6
Cornflakes mit Zucker, Honig geröstet;Cerealien, Getreide und Getreideprodukte, Reis;353;0,5;79,3;79,3;6,5;3,6;6,9;0;3,2;0;2,3
Haferdrink;Cerealien, Getreide und Getreideprodukte, Reis;46;1,5;6,7;6,7;1;0,8;89,6;0;0,3;20;0,5
Spargel weiß gegart;Gemüse und Gemüseerzeugnisse;16;0,1;1,6;1,6;1,9;1,5;94,2;0;0,6;0,2;0,4
Sojaerzeugnisse;Vegetarische Produkte;360;23,4;0,4;0,4;37,2;17,1;8,2;0;4,5;0,3;9,1
Marmorkuchen aus Rührmasse;Kuchen, Feinbackwaren, Dauerbackwaren;391;21,7;42,9;42,9;6,2;1,6;26,8;0;0,7;0;6
Weichkäse aus Ziegenmilch (45% Fett i. Tr.);Milch, Milcherzeugnisse, Käse;275;21,8;0;NA;20,1;0;53,6;0;4,2;0,3;15,8
Landjäger;Wurst, Fleischwaren;456;44,4;0,4;0,4;15,2;0;36,2;0;3,8;0;6,5
Zuckererbsen frisch;Gemüse und Gemüseerzeugnisse;59;0,2;10;NA;4;5;79,6;0;0,9;0,3;2,4
Weizen Grieß gegart;Cerealien, Getreide und Getreideprodukte, Reis;29;0,1;6,1;6,1;1;0,7;92,1;0;0,1;0;0,4
Feldsalat frisch;Gemüse und Gemüseerzeugnisse;14;0,4;0,7;0,7;1,8;1,8;94,2;0;0,8;0,3;6,9
Hafer ganzes Korn roh;Cerealien, Getreide und Getreideprodukte, Reis;332;7,1;55,7;55,7;10,7;9,7;13,8;0;2,9;0;6
Weißbrot-Weizentoastbrot;Brot- und Kleingebäck;253;3,3;47,7;47,7;7,4;2,9;37;0;1,6;0,1;4,1
Walnüsse;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;654;62,5;10,6;10,6;14,4;6,1;4,4;0;2;0;6,3
Konfitüre Gelee Marmeladen;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;279;0,1;68,3;68,1;0,1;0,7;30,3;0;0,1;0,2;-1
Kiwi frisch;Früchte, Obst und Obsterzeugnisse;61;0,6;10,8;10,8;1;3,9;80,5;0;0,7;2,5;5,7
Haselnusspastete;Wurst, Fleischwaren;281;23,1;1,2;1,2;17,7;0,8;54;0;3,1;0,1;6,3
Lachs tiefgefroren;Fische, Krusten-, Schalen-, Weichtiere;131;6,3;0;NA;18,4;0;74;0;1,2;0;10,1
Pumpernickel;Brot- und Kleingebäck;188;1;37,6;37,6;6,5;8,7;44,1;0;2,1;0,1;3,9
Kaiserjagdwurst Konserve;Wurst, Fleischwaren;218;16,8;0,2;0,2;16,8;0,1;63,3;0;2,7;0,1;6,6
Mais-Vollkornfladenbrot;Brot- und Kleingebäck;226;2,7;43,8;43,8;6,1;6,2;39;0;2,2;0;3,5
Honig;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;306;0;75,1;75,1;0,4;0;24,3;0;0,2;0;0,4
Vollkornbrot mit Sonnenblumenkernen;Brot- und Kleingebäck;204;2,9;36,5;36,5;7,1;8,6;42,5;0;2,2;0,1;4,1
Schaf Muskelfleisch;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);117;3,7;0;NA;20,8;0;74,3;0;1,2;0;10,5
Rind Lunge frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);94;2,6;0;NA;17,4;0;78,9;0;1;0;11,5
Pak Choi frisch;Gemüse und Gemüseerzeugnisse;14;0,3;1,2;1,2;1,2;1,9;94,4;0;0,6;0,4;2,1
Champignon frisch;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;15;0,2;0,6;0,1;2,7;2;93,3;0;1;0,1;3,4
Knoblauchwurst einfach;Wurst, Fleischwaren;367;34,2;0,4;0,4;15,7;0;46,2;0;3,5;0;7,7
Wurzelpetersilie frisch;Gemüse und Gemüseerzeugnisse;37;0,5;5,4;4,6;2,9;4,3;84,8;0;1,6;0,2;-6
Apfel Fruchtsaft;Früchte, Obst und Obsterzeugnisse;47;0;11,1;10,5;0,1;0;87,9;0,1;0,3;0,5;2,3
Beerenobst;Früchte, Obst und Obsterzeugnisse;71;0,3;15,6;15,4;0,7;0,8;81,3;0;0,5;0,8;3,4
Pecannuss frisch;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;692;72;4,4;4,4;9,3;9,5;3,2;0;1,6;0;0,4
Schweinefilet im Netz                   ;Wurst, Fleischwaren;162;8,1;1,1;1,1;21,2;0,4;67,9;0;1,3;0;7,9
Geflügelwiener Würstchen;Wurst, Fleischwaren;123;4,9;0,4;0,4;19,1;0,2;72,2;0;3,1;0,1;8,6
Spekulatius aus Mürbeteig;Kuchen, Feinbackwaren, Dauerbackwaren;489;25,6;56,8;56,8;7,8;3,3;5,6;0;0,8;0,1;4,6
Mosaik-, Schachbrettpastete und andere;Wurst, Fleischwaren;261;22;0,3;0,3;15,9;0,1;58,6;0;3;0,1;6,2
Kresse frisch;Gemüse und Gemüseerzeugnisse;35;0,7;2,5;2,5;4,2;3,5;86,8;0;1,9;0,4;11,9
Banane frisch;Früchte, Obst und Obsterzeugnisse;95;0,2;21,4;21,4;1,2;2;73,8;0;0,8;0,6;7,7
Rumpsteak (Zubereitung Großküche);Menükomponenten;159;4,3;0,1;0,1;29,7;0;63,8;0;2,2;0;14,4
Linsen reif frisch;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;309;1,4;49,3;49,3;23,5;10,6;9,3;0;3,2;0,3;4,8
Oliven;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;143;13,9;1,8;1,8;1,4;2,4;71,7;0;6,4;2,5;1,4
Müsli;Cerealien, Getreide und Getreideprodukte, Reis;351;7,3;60;59,9;10,4;8,1;11,5;0;2;0,4;3,7
Kokosflocken aus Fondant;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;380;9,1;72,8;72,8;1;2,3;14,2;0;0,5;0;1,7
Gouda mind. 10% Fett i. Tr.;Milch, Milcherzeugnisse, Käse;256;16;0;NA;27,4;0;52,7;0;2,9;1;21,6
Gelee einfach;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;280;0,1;68,5;68,3;0,1;0;30,9;0;0,1;0,2;0,9
Tomatensoße italienisch (Zubereitung Großküche);Menükomponenten;75;4,2;6,4;6,4;2,7;1,6;83,5;0;1,4;0,2;6,6
Kohlrabi frisch;Gemüse und Gemüseerzeugnisse;25;0,1;3,7;3,7;2;1,5;91,6;0;0,9;0,2;7,2
Kokosnuss;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;361;36,5;4,8;4,8;4,6;9;43,9;0;1,2;0;3,5
Obstsalat süßsauer (Zubereitung Haushalt);Menükomponenten;103;1;21,3;20,7;0,7;1,9;73,3;0,5;0,5;0,8;3,5
Kalbfleischsülze;Wurst, Fleischwaren;109;3,2;0,2;0,2;19,7;0;74,7;0;2,1;0;8,3
Salami ungarische Art;Wurst, Fleischwaren;366;32,1;0,3;0,3;19,8;0;43,5;0;4,2;0;7,9
Muffins mit Schokolade;Kuchen, Feinbackwaren, Dauerbackwaren;286;11,6;37,3;37,3;7,8;6,7;34,5;0;1,8;0,3;0,9
Graubrot-Weizenmischbrot mit Sonnenblumenkernen;Brot- und Kleingebäck;235;3;43,5;43,5;7,8;4,3;39,4;0;1,7;0;3,8
Aprikose - Marille;Früchte, Obst und Obsterzeugnisse;43;0,1;8,5;7,7;0,9;1,5;86,8;0;0,7;1,4;5,1
Schinkenroulade;Wurst, Fleischwaren;278;22,1;0,2;0,2;20,3;0,1;55,3;0;2;0,1;7,9
Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie);Menükomponenten;86;4,9;8,4;8,4;1,7;1,4;81,9;0;1,2;0,6;3,4
Brötchen-Roggenbrötchen mit Sonnenblumenkernen;Brot- und Kleingebäck;239;3,2;44,8;44,8;7,1;6,1;36,7;0;2;0,1;2,8
Leberwurst einfach;Wurst, Fleischwaren;330;31,3;0,6;0,6;12,4;0,1;53,2;0;2,3;0;6,6
Bohnen grün tiefgefroren gegart;Gemüse und Gemüseerzeugnisse;27;0,3;3,3;3,3;2,6;3,4;87,5;0;0,7;0,2;3,1
Vollkornbrot-Mehrkornvollkornbrot;Brot- und Kleingebäck;201;1,2;40;NA;6,8;8,2;41,3;0;2,2;0,1;4,3
Kalbfleisch-Pastete;Wurst, Fleischwaren;212;12,1;7,3;7,3;18,5;0,5;58,4;0;3,1;0;8,5
Hausmacher Blutwurst Konserve;Wurst, Fleischwaren;344;31,4;0,6;0,6;15,7;0,2;49,9;0;2,2;0;7,8
Salzstangen;Kuchen, Feinbackwaren, Dauerbackwaren;347;0,5;75,3;75,3;9;0,7;9;0;5,5;0;4,7
Mozzarella;Milch, Milcherzeugnisse, Käse;290;23,1;1,9;1,9;18,8;0;64;0;1,9;0,3;14
Brathähnchen Leber frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);139;4,7;5;NA;19,1;0;69,5;0;1,7;0;14,4
Rote Bete gegart;Gemüse und Gemüseerzeugnisse;32;0,1;6,1;6,1;1,4;2,4;88,9;0;0,8;0,2;1,8
Agavendicksaft;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;305;0,4;75;NA;0,1;0,2;24,1;0;0,1;0;0
Shiitakepilz frisch;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;42;0,2;12,3;2,5;1,6;2;83,6;0;0,2;0,1;1,1
Mortadella Konserve;Wurst, Fleischwaren;308;29,2;0,4;0,4;12;0,2;54,8;0;3,3;0,1;4,2
Marmelade;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;279;0,1;68,3;68,1;0,1;0,7;30,3;0;0,1;0,2;-1
Griechischer Joghurt;Milch, Milcherzeugnisse, Käse;229;16,7;13,5;13,5;5,8;1,1;62,2;0;0,7;67,7;0,6
Rind Pökelfleisch gekocht ungeräuchert;Wurst, Fleischwaren;133;7;0,9;0,9;16,7;0;69;0;6,5;0;8,8
Schwein Nacken (Kamm) (fett) frisch gegart;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);256;16,7;0;NA;26,7;0;55,5;0;1,1;0;11,7
Hirsch Fleisch (mager) frisch;Fleisch (Wild, Geflügel, Federwild, Innereien);113;3,3;0;NA;20,6;0;74,9;0;1,1;0;10,3
Geflügelleberwurst;Wurst, Fleischwaren;244;16,8;2,9;2,9;20,4;0,1;56,2;0;3,5;0,1;13,6
Haselnusspastete mit Mürbeteig;Wurst, Fleischwaren;314;25,4;7,9;7,9;14,1;1,3;48,9;0;2,4;0;4,9
Joghurt 10% mit Früchten;Milch, Milcherzeugnisse, Käse;144;8,7;13,2;13,2;2,7;0,9;73,2;0;0,6;0,7;0,3
Geflügelbierwurst;Wurst, Fleischwaren;212;13;0,3;0,3;23,6;0,1;59,6;0;3,4;0;10,6
Schwarze Graupenwürstchen;Wurst, Fleischwaren;241;14,9;16,6;16,6;10,4;1,2;54,5;0;2,4;0;3,4
Tofu frisch;Vegetarische Produkte;77;4,8;0,5;0,5;8,1;0,5;85,3;0;0,7;0;2,6
Rotwein leicht;Alkoholische Getränke;66;0;2,4;2,4;0,2;0;88,9;7,9;0,3;0,3;1,7
Kürbiskern geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;565;46,4;2,7;2,7;35,5;8,7;5,3;0;1,4;0;17
Vollkornbrot mit Ölsamen;Brot- und Kleingebäck;204;2,9;36,5;36,5;7,1;8,6;42,5;0;2,2;0,1;4,1
Linsen reif gegart;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;115;0,5;18,4;18,4;8,8;4,1;66,1;0;1,1;0,1;2,9
Bratwurst (nicht umgerötet);Wurst, Fleischwaren;272;25,1;0,3;0,3;12,2;0;59,8;0;2,6;0;4,9
Amaranth roh;Cerealien, Getreide und Getreideprodukte, Reis;385;6,5;66,2;66,2;14,5;9,3;0,2;0;3;0;6,5
Brühwurst feingekuttert (umgerötet);Wurst, Fleischwaren;267;24,1;0,3;0,3;13;0,1;59;0;3,4;0,1;4,5
Avocado;Früchte, Obst und Obsterzeugnisse;130;12,5;3,6;3,6;1,4;4,1;77,2;0;1,3;0;9,9
Hirschsalami;Wurst, Fleischwaren;294;23;0,2;0,2;22,2;0;49,9;0;4,5;0,1;10,4
Cashewnuss geröstet und gesalzen;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;583;47,3;24,8;24,8;15,8;3,1;3,9;0;5,1;0;5,3
Geflügelknackwurst;Wurst, Fleischwaren;123;4,9;0,4;0,4;19,1;0,2;72,2;0;3,1;0,1;8,6
Knacker einfach, Schüblinge einfach;Wurst, Fleischwaren;298;28;0,2;0,2;12,2;0;56,9;0;2,6;0,1;5
Kiwi;Früchte, Obst und Obsterzeugnisse;61;0,6;10,8;10,8;1;3,9;80,5;0;0,7;2,5;5,7
Erbswurst;Wurst, Fleischwaren;306;23,6;12,5;12,5;11,3;4,9;44,2;0;2,3;0,2;2,4
Schnittkäse aus Ziegenmilch (50% Fett i. Tr.);Milch, Milcherzeugnisse, Käse;400;33,6;2,3;2,3;21,9;0;36,7;0;4,1;1,4;16,4
Milzwurst;Wurst, Fleischwaren;276;23,2;0,2;0,2;17,3;0,1;56,5;0;2,8;0;7,4
Deutsche Salami;Wurst, Fleischwaren;365;32,1;0,2;0,2;19,8;0,1;43,5;0;4,2;0;7,9
Haferkleieflocken;Cerealien, Getreide und Getreideprodukte, Reis;354;6,7;59,5;59,5;13,2;9,7;10,1;0;0,9;0;7,1
Leinsamen;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;444;36,5;7,7;7,7;22,3;22,7;7,5;0;3,3;0;4,2
Brötchen mit Sonnenblumenkernen;Brot- und Kleingebäck;264;3,6;48,8;48,8;8,2;3,3;34,3;0;1,6;0;3,9
Sonnenblumenöl;Fette, Öle, Butter, Schmalz;884;100;0;NA;0;0;0;0;0;0;0
Geflügelmortadella gebraten (zubereitet ohne Fett);Wurst, Fleischwaren;246;19,6;4,3;4,3;13,3;0,1;61,1;0;1,4;0,1;8,9
Zwieback;Kuchen, Feinbackwaren, Dauerbackwaren;365;4,3;71,4;71,4;9,2;5,2;8,5;0;1,4;0;5,1
Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie);Menükomponenten;169;5;26;NA;4,7;1,9;61,7;0;0,7;0;3,3
Sonnenblumenkern roh;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;480;26,3;34,7;34,7;26,1;5,8;3,8;0;3,3;0;11,9
Macadamianuss roh;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;697;73;4;NA;8,8;11,4;1,2;0;1,6;0;2,7
Chicoree frisch;Gemüse und Gemüseerzeugnisse;17;0,2;2,3;2,3;1,3;1,3;92,1;0;1;0,3;3,2
Weiße Graupenwurst;Wurst, Fleischwaren;238;12,9;19,1;19,1;11,5;1,3;52,6;0;2,6;0;4,6
Mortadella süddeutsch, Zungenwurst;Wurst, Fleischwaren;281;23,5;0,7;0,7;17,4;0,2;54,6;0;3,7;0;7,5
Hüttenkäse Halbfettstufe;Milch, Milcherzeugnisse, Käse;102;4,3;2,6;2,6;12,6;0;78,3;0;1,4;0,8;8,4
Kasseler gebraten im Backofen ohne Fett;Wurst, Fleischwaren;115;2,2;0;NA;23,5;0;70,8;0;3,5;0;12,7
Whisky;Alkoholische Getränke;250;0;0,1;0,1;0;0;63,9;36;0;0;0,1
Margarine pflanzlich Linolsäure 30-50%;Fette, Öle, Butter, Schmalz;709;80;0,4;0,4;0,2;0;19;0;0,4;0;0,1
Bohnen grün tiefgefroren;Gemüse und Gemüseerzeugnisse;27;0,3;3,3;3,3;2,6;3,3;87,7;0;0,8;0,2;3,9
Geflügelmortadella gekocht;Wurst, Fleischwaren;288;22,9;5;NA;16,1;0,2;54,2;0;1,5;0,2;11,3
Studentenfutter mit Erdnüssen;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;483;33,1;30,4;30,4;15,2;8,8;8,4;0;2,4;1,6;1,8
Corned Beef;Wurst, Fleischwaren;141;6;0;NA;21,7;0;69,3;0;3;0;11,8
Brötchen-Roggenmischbrötchen;Brot- und Kleingebäck;223;0,8;47;NA;6;5;39,3;0;1,7;0,1;3
Pfefferminztee (Getränk);Alkoholfreie Getränke;1;0;0,2;0,2;0;0;99,7;0;0,1;0;0,2
Erbsen grün Konserve;Gemüse und Gemüseerzeugnisse;52;0,3;7,7;7,7;4,3;3,3;83,1;0;1,1;0,2;0,2
Makrele roh Fischzuschnitt;Fische, Krusten-, Schalen-, Weichtiere;181;11,9;0;NA;18,7;0;68,1;0;1,3;0;9,3
Kürbiscremesuppe (Zubereitung Haushalt);Menükomponenten;81;4,7;6,9;6,9;2,8;0,8;83,4;0;1,2;0,2;0,8
Linsen-Eintopf (Zubereitung Gastronomie);Menükomponenten;83;1,4;10,5;10,5;6,7;2,4;76,9;0;1,5;0,3;0,7
Hafer Schrot;Cerealien, Getreide und Getreideprodukte, Reis;353;7,1;59,8;59,8;11,7;5,6;12,8;0;2,8;0;6,5
Chilischote rot frisch;Gemüse und Gemüseerzeugnisse;28;0,3;4,2;4,2;1,8;3,6;89,2;0;0,6;0,3;7,7
Saure Sahne;Milch, Milcherzeugnisse, Käse;117;10;3,3;3,3;3,1;0;82,2;0;0,7;0,7;0,2
Papaya gegart;Früchte, Obst und Obsterzeugnisse;32;0,1;7,1;7,1;0,6;1,9;89,8;0;0,5;0,1;3,8
Thunfisch Konserve in Öl, abgetropft;Fische, Krusten-, Schalen-, Weichtiere;222;15,7;0;NA;20,5;0;60,6;0;3,2;0;8,7
Joghurt mit Magermilch angereichert teilentrahmt;Milch, Milcherzeugnisse, Käse;55;1,5;5,3;5,3;4,3;0;87,1;0;1;0,8;0,2
Zwiebelwurst;Wurst, Fleischwaren;266;23,3;2,1;2,1;12,8;0,5;58,2;0;3,2;0,1;8,6
Johannisbeere schwarz Konfitüre;Früchte, Obst und Obsterzeugnisse;277;0,1;66,8;66,8;0,5;2,5;28,8;0;0,3;1;2,3
Pökelwaren Pökelfleisch;Wurst, Fleischwaren;135;7,3;0,9;0,9;16,6;0;68,4;0;6,8;0;8,8
Pfälzer Saumagen;Wurst, Fleischwaren;158;6,8;6,9;6,9;16,9;1,1;64,7;0;3,3;0,3;3,3
Roggenfladenbrot;Brot- und Kleingebäck;211;0,9;43,8;43,8;6;5,7;41,6;0;1,9;0,1;2,4
