name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Vollkornbrot-Weizen, Roggenvollkornschrottoastbrot;Brot- und Kleingebäck;241;3,8;42,9;42,9;8,2;7,6;35,1;0;2,3;0,1;5,4
Heidelbeere Konfitüre;Früchte, Obst und Obsterzeugnisse;271;0,2;65,8;65,8;0,2;1,8;31,3;0;0,1;0,5;0,4
Linsensuppe (Zubereitung Haushalt);Menükomponenten;65;1,8;7;NA;5,2;1,7;82,8;0;1,1;0,1;0,1
Gorgonzola;Milch, Milcherzeugnisse, Käse;356;31,2;0;NA;19,4;0;43,5;0;5,3;0,6;8,7
Miso;Vegetarische Produkte;115;6,1;4,7;4,7;10,5;10,5;55,5;0;12,7;0;5,6
Brühwurst mit Fleischeinlage (nicht umgerötet);Wurst, Fleischwaren;276;23,2;0,2;0,2;17,3;0,1;56,5;0;2,8;0;7,4
Geflügelmortadella fettarm;Wurst, Fleischwaren;236;19,1;4;NA;12,6;0,1;62,7;0;1,4;0,1;7,9
Schweinebauch in Aspik;Wurst, Fleischwaren;153;9,4;1;NA;16,1;0;67,7;0;5,8;0;6,6
Linsen reif Konserve;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;77;0,3;12,3;12,3;5,8;2,6;76,9;0;1,3;0,1;1,1
Trüffelmosaikpastete;Wurst, Fleischwaren;261;22;0,3;0,3;15,9;0,1;58,6;0;3;0,1;6,2
Frikadelle (Zubereitung Großküche);Menükomponenten;156;5,9;5;NA;20,5;0,5;66,3;0;1,8;0;10,6
Mais;Cerealien, Getreide und Getreideprodukte, Reis;331;3,8;64,7;64,7;8,5;9,2;12,3;0;1,3;0;3,4
Dosenschinken;Wurst, Fleischwaren;121;4,3;1,1;1,1;19,5;0;71,9;0;3,3;0;10
Champignonpastete;Wurst, Fleischwaren;259;21;0,3;0,2;17,7;0,3;57,4;0;3,2;0,1;6,4
Kichererbsen;Gemüse und Gemüseerzeugnisse;141;2,7;21,2;21,2;7,5;4,4;61,4;0;1,3;0,3;3,7
Sardine Konserve in Öl, abgetropft;Fische, Krusten-, Schalen-, Weichtiere;221;13,9;0;NA;24,1;0;58,4;0;3,6;0;14,7
Eierpastete;Wurst, Fleischwaren;286;24,3;0,5;0,5;16,8;0,2;55;0;3;0,1;7,3
Pflaumen frisch;Früchte, Obst und Obsterzeugnisse;47;0,2;10,2;8,8;0,6;1,7;85,6;0;0,5;1,3;4,1
Gurke;Gemüse und Gemüseerzeugnisse;12;0,2;1,8;1,8;0,6;0,5;96;0;0,6;0,3;2,2
Landjäger Würste;Wurst, Fleischwaren;456;44,4;0,4;0,4;15,2;0;36,2;0;3,8;0;6,5
Rotkohl Konserve gegart;Gemüse und Gemüseerzeugnisse;15;0,2;2;NA;1,3;2,2;93,2;0;1;0,2;0,8
Buschbohnen grün frisch;Gemüse und Gemüseerzeugnisse;25;0,2;3,2;3,2;2,4;3;88,7;0;0,7;0,2;-4
Plockwurst;Wurst, Fleischwaren;432;37;0,3;0,3;25,6;0,1;31,5;0;5,6;0;10,8
Rote Rübe frisch;Gemüse und Gemüseerzeugnisse;42;0,1;8,4;8,4;1,5;2,5;86,3;0;1;0,2;5,7
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";Menükomponenten;188;9,4;6,6;6,6;19,1;0,4;62,9;0;1,5;0;9,6
Leinsamen geschrotet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;450;36,9;7,8;7,8;22,5;21,8;7,6;0;3,4;0;4,3
Lebkuchenteigbackwaren;Kuchen, Feinbackwaren, Dauerbackwaren;412;19,8;49,4;49,4;8,8;5,2;15,2;0;1,2;0,4;1,1
Champignonpastete mit Mürbeteig;Wurst, Fleischwaren;315;26,2;9;NA;11,4;0,7;49,8;0;2,8;0;4,1
Schweinegrillschnitten                   ;Wurst, Fleischwaren;188;11,2;1;NA;21;0,3;62,5;0;3,9;0;7,5
Schwein Filet (mager) frisch;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);107;2;0;NA;22;0;74,8;0;1,2;0;9
Filetblutwurst;Wurst, Fleischwaren;247;17,4;0,6;0,6;22,4;0;54,8;0;4,8;0;10,4
Hanfnussöl;Fette, Öle, Butter, Schmalz;898;99,8;0;NA;0;0;0,2;0;0;0;0
Apfel-Streuselkuchen aus Mürbeteig fettreich;Kuchen, Feinbackwaren, Dauerbackwaren;232;11;31,2;30,8;2;1,8;53,4;0;0,3;0,4;0,9
Hühnerei Vollei;Eier und Eierprodukte, Teigwaren;154;11,2;0,7;0,7;12,9;0;74,1;0;1,1;0;10,2
Sardine Konserve abgetropft;Fische, Krusten-, Schalen-, Weichtiere;117;4,5;0;NA;19,1;0;72,9;0;3,4;0;8,5
Cervelatwurst;Wurst, Fleischwaren;369;32,4;0,3;0,3;20,1;0,1;42,8;0;4,3;0;8,3
Kalbfleischwurst;Wurst, Fleischwaren;321;30,1;0,2;0,2;13,4;0;53,4;0;2,9;0;6,1
Hirse roh;Cerealien, Getreide und Getreideprodukte, Reis;357;3,9;68,8;68,8;10,6;3,9;10,5;0;1,6;0;8,4
