"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Spitzpaprika grün";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;54;60;0;0;0;37;0;1;0;0;240;167;0;0;0;10;0;18;0;0;0;0;0;7;0
"Fleischwurst Pariser";0;0;67;0;0;0;0;0;0;0;0;45;0;12;0;0;207;11335;0;8780;1256;21;12;0;5335;0;722;0;0;22829;2714;0;0;0;3015;0;10394;0;12;0;0;0;340;0
"Kalbsleberwurst grob";0;0;114;0;5;0;0;0;0;0;0;58;0;13;0;0;259;14690;0;11347;2030;36;15;0;6875;0;970;0;0;29686;3649;0;0;0;3939;0;13444;0;15;0;0;0;406;2
"Erdnuss roh";0;0;0;0;1334;46;0;0;0;0;0;46;0;560;0;0;506;22652;0;9122;2116;46;0;0;5100;0;0;0;0;46204;14430;0;0;0;1300;0;22100;0;0;0;506;0;230;0
"Apfelmus (Zubereitung Haushalt)";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;0;69;59;0;0;0;57;0;1;0;0;238;152;0;0;0;9;0;16;0;0;0;0;0;2;0
"Buchweizenbrot";0;0;0;7;8;31;0;0;0;0;0;26;0;15;0;0;33;355;0;384;328;2;0;0;236;0;28;0;0;1344;621;16;4;0;52;0;263;9;1;0;0;0;28;0
"Heidelbeere tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;37;125;0;0;0;27;0;2;0;0;502;388;0;0;0;10;0;75;0;0;0;0;0;0;0
"Schwein Schinken roh geräuchert (Lachsschinken)";0;0;51;0;0;0;0;0;0;0;0;7;0;7;0;0;47;1988;0;1528;392;19;7;0;956;0;143;0;0;3968;452;0;0;0;468;0;1791;0;7;0;0;0;64;0
"Graubrot-Roggenbrot mit Käse";0;26;2;20;0;0;0;0;0;0;0;25;0;5;0;0;5;331;0;593;289;7;7;0;317;0;22;17;43;1301;449;29;0;0;79;0;282;9;9;5;0;0;79;10
"Blumenkohl tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;0;53;71;0;0;0;49;0;5;0;0;238;177;0;0;0;2;0;2;0;0;0;0;0;1;0
