"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Leinsamen geschrotet";0;0;0;0;57;0;0;0;0;0;0;4;0;57;0;0;48;7316;0;3676;1;22;15;0;1987;0;26;0;0;36918;25926;0;0;0;1491;0;7223;0;7;0;33;4;18;0
"Lebkuchenteigbackwaren";0;0;77;0;0;0;0;0;0;0;0;0;0;43;0;0;17;12827;0;2143;1194;0;0;0;1586;0;191;0;0;18612;3642;0;0;0;467;0;12619;0;0;0;0;0;47;0
"Champignonpastete mit Mürbeteig";0;156;59;118;0;0;0;0;0;0;0;184;0;51;0;0;228;11444;0;10765;1423;86;72;0;6120;0;737;100;256;24365;2587;175;0;0;3052;0;10316;57;81;30;0;0;760;61
"Schweinegrillschnitten                   ";0;0;67;2;0;0;0;0;0;0;0;22;0;8;0;0;97;5168;0;3984;734;18;8;0;2440;0;346;0;0;10419;1271;4;0;0;1336;0;4717;2;8;0;0;0;148;0
"Schwein Filet (mager) frisch";0;0;70;0;0;0;0;0;0;0;0;4;0;4;0;0;22;909;0;704;180;9;4;0;439;0;66;0;0;1820;207;0;0;0;215;0;817;0;4;0;0;0;29;0
"Filetblutwurst";0;0;53;0;0;0;0;0;0;0;0;33;0;2;0;0;136;8210;0;6260;902;4;2;0;3798;0;529;0;0;16453;1983;0;0;0;2205;0;7543;0;2;0;0;0;216;0
"Hanfnussöl";0;0;0;0;0;0;0;0;0;0;0;0;0;1598,9;0;0;411,5;12200;0;10700;0;0;0;0;5903,4;0;0;0;0;99800,2;76900;0;0;0;3197,7;0;11788,5;0;0;0;0;0;0;0
"Apfel-Streuselkuchen aus Mürbeteig fettreich";0;351;40;264;0;0;0;0;0;0;0;324;0;50;0;0;20;3265;0;6434;711;88;97;0;2826;0;266;224;575;9352;619;391;0;0;1017;0;2677;127;117;68;0;0;1046;137
"Hühnerei Vollei";0;0;396;0;0;0;0;0;0;0;0;0;0;46;0;0;0;4461;0;3328;1904;0;0;0;2417;0;372;0;0;9296;1507;0;0;0;837;0;4089;0;0;0;0;0;28;0
"Sardine Konserve abgetropft";0;0;15;0;0;99;0;0;0;0;0;0;0;4;0;0;54;1130;0;1207;420;0;0;0;659;0;401;0;0;4056;1719;0;0;0;258;0;576;0;8;0;0;0;278;0
"Cervelatwurst";0;0;76;0;0;0;0;0;0;0;0;60;0;5;0;0;245;15302;0;11768;1700;15;12;0;7105;0;990;0;0;30724;3654;0;0;0;4160;0;14046;0;6;0;0;0;417;9
"Kalbfleischwurst";0;0;61;0;0;0;0;0;0;0;0;45;0;1;0;0;161;12736;0;10623;4044;99;98;0;6088;0;925;0;0;26064;2705;0;0;0;3709;0;11430;0;66;0;0;0;615;122
"Hirse roh";0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;841;0;886;485;0;0;0;675;0;15;0;0;3415;1688;0;0;0;169;0;826;0;0;0;0;0;9;0
"Eisbergsalat";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;31;40;0;0;0;27;0;3;0;0;160;119;0;0;0;4;0;7;0;0;0;0;0;0;0
"Petersilienblatt frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;51;80;0;0;0;48;0;8;0;0;320;237;0;0;0;3;0;24;0;0;0;0;0;0;0
"Mandelmus";0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;0;56;40199;0;4962;2719;0;0;0;3721;0;395;0;0;56381;11220;0;0;0;1015;0;39748;0;0;0;0;0;113;0
"Paranuss";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;21968;0;16987;2939;0;0;0;9962;0;255;0;0;63861;24906;0;0;0;6897;0;21649;0;0;0;0;0;128;0
"Zander tiefgefroren";0;0;70;0;0;8;0;0;0;0;0;0;0;0;0;0;18;170;0;154;219;10;0;0;92;0;52;0;0;511;187;0;0;0;26;0;92;0;3;0;0;0;23;0
"Brie Vollfettstufe";0;762;51;572;0;0;0;0;0;0;0;699;0;106;0;0;42;6752;0;13591;1232;191;212;0;5842;0;550;487;1249;19072;825;847;0;0;2138;0;5504;275;254;148;0;0;2265;296
"Erdnussbutter, -mus";0;0;0;0;1189;0;0;0;0;0;0;0;0;666;0;0;666;25200;0;9844;2450;48;0;0;5326;0;48;0;0;47550;12506;0;0;0;2615;0;24486;0;0;0;0;0;0;0
"Fenchel";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;43;40;0;0;0;38;0;0;0;0;160;109;0;0;0;3;0;8;0;0;0;0;0;1;0
"Lamm Leber roh";0;0;371;0;37;0;0;0;0;0;0;4;0;19;0;0;30;1299;0;1642;1299;37;60;0;745;0;112;0;0;3722;781;0;0;0;744;0;1078;0;19;19;0;0;37;0
"Quark";0;7;1;5;0;0;0;0;0;0;0;6;0;1;0;0;0;60;0;121;11;2;2;0;53;0;5;4;11;171;8;7;0;0;19;0;49;2;2;1;0;0;20;3
"Apfelkuchen aus Rührmasse";0;261;74;197;0;0;0;0;0;0;0;241;0;44;0;0;15;2941;0;5180;761;66;72;0;2385;0;240;167;428;8064;663;292;0;0;853;0;2461;95;87;51;0;0;784;102
"Kuhmilch Trinkmilch fettarm";0;54;6;41;0;0;0;0;0;0;0;50;0;8;0;0;3;482;0;971;88;14;15;0;416;0;39;35;89;1362;59;61;0;0;153;0;393;20;18;11;0;0;162;21
"Puderzucker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brathähnchen Schenkel roh";0;0;87;11;11;0;0;0;0;0;0;11;0;32;0;0;106;3415;0;3670;616;21;21;0;2268;0;392;0;0;9710;2636;11;0;0;1200;0;2832;0;21;0;30;0;65;64
"Pökelwaren Eisbein";0;0;59;0;0;0;0;0;0;0;0;17;0;17;0;0;100;4157;0;3212;822;41;17;0;2005;0;300;0;0;8318;949;0;0;0;982;0;3740;0;17;0;0;0;133;0
"Granatapfel frisch";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;101;0;141;120;0;0;0;115;0;5;0;0;480;238;0;0;0;19;0;96;0;0;0;0;0;5;0
"Dinkelbrot (Vollkornbrot)";0;0;0;0;19;0;0;0;0;0;0;2;0;10;0;0;10;750;0;442;383;1;1;0;301;0;4;0;0;3157;1965;0;0;0;99;0;735;0;1;0;6;0;3;0
"Distelöl (Safloröl)";0;0;0;0;190;95;0;0;0;0;0;0;0;476;0;0;190;11795;0;8941;4378;0;0;0;5707;0;95;0;0;95122;74386;0;0;0;2473;0;11415;0;0;0;0;0;95;0
"Pute frisch";0;0;74;0;0;14;0;0;0;0;0;14;0;0;0;0;28;4182;0;4975;825;14;383;0;3402;0;709;0;0;14175;5018;0;0;0;1418;0;3048;0;14;0;0;0;113;0
"Chinakohl frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;71;57;0;0;0;63;0;4;0;0;229;119;0;0;0;8;0;35;0;0;0;0;0;0;0
"Bleichsellerie Gemüsesaft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;28;33;0;0;0;24;0;3;0;0;131;90;0;0;0;2;0;10;0;0;0;0;0;2;0
"Zwetschge Konfitüre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;7;0;0;0;5;0;0;0;0;30;20;0;0;0;1;0;4;0;0;0;0;0;0;0
"Hering frisch Fischzuschnitt";0;0;91;14;0;2344;0;0;0;0;0;14;0;27;0;0;1769;7610;0;3067;1500;27;0;0;1850;0;1323;0;0;13486;2823;14;0;0;162;0;2106;0;68;0;0;0;905;68
"Erbsen grün tiefgefroren gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;160;0;190;101;0;0;0;121;0;11;0;0;408;58;0;0;0;59;0;147;0;0;0;0;0;10;0
"Milchreis (Zubereitung Gastronomie)";0;93;10;70;0;0;0;0;0;0;0;86;0;14;0;0;5;859;0;1699;170;24;26;0;743;0;68;59;152;2446;144;104;0;0;265;0;706;34;32;18;0;0;279;36
"Reisbrot";0;0;0;7;8;31;0;0;0;0;0;26;0;13;0;0;33;342;0;388;316;2;0;0;240;0;30;0;0;1327;613;16;4;0;52;0;248;9;1;0;0;0;30;0
"Weizenkeimöl";0;0;0;0;0;0;0;0;0;0;0;0;0;761;0;0;476;17598;0;16171;4378;0;0;0;13888;0;476;0;0;95122;61353;0;0;0;1427;0;16646;0;0;0;0;0;95;0
"Pinienkern";0;0;0;0;0;0;0;0;0;0;0;0;0;339;0;0;921;19630;0;6106;2231;0;0;0;4023;0;145;0;0;48469;22733;0;0;0;1696;0;18564;0;0;0;0;0;48;0
"Dattel frisch";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;84;0;118;100;0;0;0;96;0;4;0;0;400;198;0;0;0;16;0;80;0;0;0;0;0;4;0
"Hirse Korn geschält roh";0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;947;0;997;0;0;0;0;760;0;17;0;0;0;0;0;0;0;190;0;930;0;0;0;0;0;10;0
"Edelkastanien (Maronen) geröstet";0;0;0;0;29;30;0;0;0;0;0;0;0;38;0;0;320;6100;0;1254;597;10;0;0;913;0;47;0;0;10306;2952;0;0;0;236;0;5691;0;3;0;11;12;14;0
"Tee grün (Getränk)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schlackwurst";0;0;65;0;0;0;0;0;0;0;0;68;0;18;0;0;297;17077;0;13164;2188;48;25;0;7994;0;1130;0;0;34274;4033;0;0;0;4533;0;15615;0;19;0;0;0;484;10
"Brathähnchen Brustfilet gebraten (zubereitet ohne Fett)";0;0;74;1;1;0;0;0;0;0;0;1;0;1;0;0;7;270;0;202;37;1;1;0;145;0;34;0;0;632;161;1;0;0;44;0;224;0;1;0;0;0;7;4
"Graubrot-Roggenmischbrot mit Sonnenblumenkernen";0;0;0;0;14;2;0;0;0;0;0;1;0;10;0;0;8;569;0;358;304;0;0;0;223;0;5;0;0;2610;1683;0;0;0;103;0;554;0;0;0;4;0;3;0
"Wassermelone roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;56;40;0;0;0;45;0;4;0;0;149;67;0;0;0;9;0;22;0;0;0;0;0;2;0
"Knäckebrot-Roggenmischbrot mit Leinsamen";0;0;0;0;2;0;0;0;0;0;0;3;0;5;0;0;6;528;0;382;425;2;0;0;279;0;6;0;0;2918;2008;0;0;0;88;0;516;0;0;0;0;0;3;0
"Rind Niere frisch";0;0;375;0;0;0;0;0;0;0;0;7;0;0;0;0;15;817;0;1474;835;37;35;12;616;0;74;0;0;2465;174;0;0;0;715;0;666;0;25;15;0;0;74;12
"Porree frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;57;68;0;0;0;54;0;0;0;0;274;209;0;0;0;3;0;8;0;0;0;0;0;0;0
"Kartoffeln ungeschält roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;2;0;0;0;0;11;8;0;0;0;1;0;0;0;0;0;0;0;0;0
"Haselnuss geröstet";0;0;0;0;39;28;0;0;0;0;0;0;0;98;0;0;364;52288;0;5819;414;33;48;0;3992;0;162;0;0;66273;8166;0;0;0;1602;0;51675;0;9;0;16;11;30;0
"Dattel";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;84;0;118;100;0;0;0;96;0;4;0;0;400;198;0;0;0;16;0;80;0;0;0;0;0;4;0
"Kümmelwurst Rohwurst";0;0;56;0;0;0;0;0;0;0;0;52;0;3;0;0;210;13139;0;10085;1438;9;7;0;6090;0;848;0;0;26372;3148;0;0;0;3572;0;12068;0;4;0;0;0;355;6
"Thüringer Rotwurst";0;0;81;0;1;0;0;0;0;0;0;18;0;15;0;0;106;4729;0;3792;588;26;15;0;2331;0;293;0;0;9661;1140;0;0;0;1244;0;4315;0;15;0;0;0;142;0
"Mandeldrink ungesüßt";0;0;0;0;0,2;0,1;0;0;0;0;0;0,1;0;1,1;0;0;1;700;0;100;0;0,1;0;0;78,3;0;5,8;0;0;1100;0,3;0;0;0;19,9;0;693,2;0;0;0;0,1;0;0,3;0
"Reis Kleie";0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;5974;0;2937;1264;0;0;0;2646;0;15;0;0;14536;5625;0;0;0;204;0;5959;0;0;0;0;0;29;0
"Kartoffelsuppe (Zubereitung Haushalt)";0;45;4;34;0;0;0;0;0;0;0;42;0;6;0;0;3;401;0;812;90;11;12;0;354;0;33;29;74;1178;89;50;0;0;127;0;327;16;15;9;0;0;133;17
"Buchweizenvollkornbrot";0;0;0;0;0;0;0;0;0;0;0;1;0;11;0;0;3;223;0;209;353;0;0;0;179;0;3;0;0;1011;579;0;0;0;14;0;217;0;1;0;0;0;3;0
"Burgunder Schinken in Aspik";0;0;67;0;0;0;0;0;0;0;0;4;0;4;0;0;21;1047;0;852;207;12;7;0;518;0;76;0;0;2120;221;0;0;0;270;0;939;0;5;0;0;0;39;4
"Sesam geröstet";0;0;0;0;27;28;0;0;0;0;0;0;0;264;0;0;323;23687;0;8115;2529;9;0;0;5990;0;170;0;0;52398;20596;0;0;0;1715;0;23155;0;3;0;10;11;97;0
"Zungenpreßkopf";0;0;85;8;0;0;0;0;0;0;0;67;0;25;0;0;238;10552;0;8215;1199;40;25;0;5178;0;709;0;0;21257;2498;8;0;0;2512;0;9580;0;25;0;0;0;360;0
"Preßköpfe";0;0;75;0;0;0;0;0;0;0;0;44;0;14;0;0;208;11154;0;8555;1412;32;14;0;5231;0;728;0;0;22366;2657;0;0;0;2910;0;10204;0;14;0;0;0;310;0
"Kasseler Kamm roh geräuchert";0;0;49;0;0;0;0;0;0;0;0;13;0;5;0;0;63;3538;0;3154;463;11;5;0;1800;0;170;0;0;7296;604;0;0;0;1180;0;3300;0;5;0;0;0;140;0
"Glühwein";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;5;0;0;0;5;0;0;0;0;18;4;0;0;0;1;0;7;0;0;0;0;0;1;0
"Walnussöl";0;0;1;0;0;0;0;0;0;0;0;0;0;666;0;0;761;16171;0;10749;4378;0;0;0;7039;0;190;0;0;95122;68202;0;0;0;1998;0;15220;0;0;0;0;0;1046;0
"Kokosnuss Mehl";0;2,7;0;926,3;1,5;0;0;0;0;0;0;6747,1;0;9,7;0;0;3,8;900;0;13000;0;1,5;0;0;1036,2;0;2;118,1;120,9;11662,2;100;2216,9;0;0;394,4;0;858,6;1290,6;1,5;0;2,7;0;2467,7;0
"Fladenbrote";0;0;0;7;8;31;0;0;0;0;0;26;0;12;0;0;33;282;0;321;227;2;0;0;182;0;29;0;0;1040;453;16;4;0;47;0;189;9;1;0;0;0;27;0
"Graubrot mit Käse";0;26;2;20;0;0;0;0;0;0;0;25;0;6;0;0;5;320;0;578;255;7;7;0;303;0;22;17;43;1216;390;29;0;0;77;0;271;9;9;5;0;0;79;10
"Schinkenpreßkopf";0;0;69;0;0;0;0;0;0;0;0;29;0;29;0;0;175;7235;0;5871;823;48;30;0;3620;0;441;0;0;14768;1662;0;0;0;1861;0;6588;0;29;0;0;0;255;1
"Graubrot-Roggentoastbrot";0;0;0;35;37;146;0;0;0;0;0;123;0;38;0;0;150;1007;0;1163;363;12;0;0;536;0;125;2;2;3047;958;79;20;0;203;0;584;44;2;0;0;0;131;2
"Hirse Flocken";0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;841;0;886;485;0;0;0;675;0;15;0;0;3415;1688;0;0;0;169;0;826;0;0;0;0;0;9;0
"Frühstücksfleisch";0;0;61;0;0;0;0;0;0;0;0;48;0;21;0;0;230;11714;0;8996;1679;52;21;0;5523;0;786;0;0;23491;2781;0;0;0;2994;0;10677;0;21;0;0;0;337;0
"Moosbeere frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;42;140;0;0;0;31;0;3;0;0;560;431;0;0;0;11;0;84;0;0;0;0;0;0;0
"Saure Sahne 20 % Fett";0;680;65;510;0;0;0;0;0;0;0;624;0;95;0;0;38;6029;0;12133;1100;170;189;0;5215;0;491;435;1115;17029;738;756;0;0;1909;0;4914;246;227;132;0;0;2022;265
"Olivenpastete";0;0;55;0;2;0;0;0;0;0;0;41;0;19;0;0;190;11814;0;8175;1302;23;10;0;5041;0;681;0;0;22647;2658;0;0;0;2752;0;10933;0;10;0;2;0;285;0
"Hühnerei Vollei frisch";0;0;396;0;0;0;0;0;0;0;0;0;0;46;0;0;0;4461;0;3328;1904;0;0;0;2417;0;372;0;0;9296;1507;0;0;0;837;0;4089;0;0;0;0;0;28;0
"Cabanossi (Brühwurst)";0;0;50;0;0;0;0;0;0;0;0;56;0;14;0;0;236;14534;0;11306;1820;64;19;0;6849;0;1038;0;0;29078;3238;0;0;0;3836;0;13187;0;30;0;0;0;457;54
"Gemüsepaprika rot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;91;100;0;0;0;62;0;2;0;0;400;277;0;0;0;17;0;30;0;0;0;0;0;12;0
"Lasagne al forno (Zubereitung Gastronomie)";0;226;73;170;2;0;0;0;0;0;0;209;0;39;0;0;22;3443;0;4980;682;70;70;0;2326;0;250;144;370;8371;570;252;0;0;914;0;2957;82;81;44;1;0;716;100
"Straßburger Gänseleberwurst";0;0;378;1;15;0;0;0;0;0;0;29;0;7;0;0;121;7097;0;5940;1694;18;8;0;3561;0;498;0;0;15307;2271;1;0;0;2107;0;6470;0;8;0;0;0;194;0
"Joghurt teilentrahmt";0;51;5;38;0;0;0;0;0;0;0;47;0;7;0;0;3;453;0;909;83;13;14;0;390;0;37;33;84;1277;55;56;0;0;143;0;369;18;17;10;0;0;152;20
"Garnele frisch";0;0;152;1;0;21;0;0;0;0;0;12;0;0;0;0;24;352;0;278;519;6;12;0;188;0;67;0;0;1209;581;2;0;0;33;0;228;1;7;0;0;0;30;0
"Brühwurst";0;0;53;0;0;0;0;0;0;0;0;51;0;5;0;0;209;12455;0;9524;1359;8;5;0;5781;0;799;0;0;25007;3028;0;0;0;3342;0;11442;0;5;0;0;0;332;0
"Spitzpaprika rot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;91;100;0;0;0;62;0;2;0;0;400;277;0;0;0;17;0;30;0;0;0;0;0;12;0
"Zungenwurst hell";0;0;68;3;0;0;0;0;0;0;0;51;0;11;0;0;190;10596;0;7919;1244;18;9;0;4883;0;689;0;0;21065;2553;3;0;0;2642;0;9708;0;9;0;0;0;302;0
"Kaffee mit Kondensmilch und Zucker (Getränk)";0;8;1;6;0;0;0;0;0;0;0;7;0;1;0;0;0;71;0;144;13;2;2;0;62;0;6;5;13;202;9;9;0;0;23;0;58;3;3;2;0;0;24;3
"Rinderbierschinken";0;0;65;0;0;0;0;0;0;0;0;21;0;11;0;0;84;5551;0;4554;743;35;29;0;2700;0;370;0;0;11296;1191;0;0;0;1577;0;5044;0;17;0;0;0;193;24
"Geflügelfleischkäse gekocht";0;0;62;0;0;1;0;0;0;0;0;12;0;10;0;0;59;2859;0;2712;485;11;27;0;1536;0;120;0;0;6250;679;0;0;0;1040;0;2652;0;7;0;0;0;96;0
"Hafer Vollkornflocken";0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;73;2468;0;1245;450;0;0;0;1079;0;14;0;0;6200;2487;0;0;0;112;0;2381;0;0;0;0;0;0;0
"Zuckermelone - Honigmelone";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;26;20;0;0;0;22;0;2;0;0;54;15;0;0;0;4;0;11;0;0;0;0;0;0;0
"Füllung für Spanferkel";0;0;155;1;8;0;0;0;0;0;0;33;0;7;0;0;121;6916;0;5540;1192;20;9;0;3302;0;467;0;0;14448;1993;1;0;0;1937;0;6319;0;8;0;0;0;224;0
"Getrüffelte Zungenpastete";0;124;75;97;0;0;0;0;0;0;0;167;0;42;0;0;229;11435;0;10303;1414;70;58;0;5985;0;762;80;204;24024;2632;142;0;0;2935;0;10313;45;66;24;0;0;692;49
"Gurke frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;66;40;0;0;0;59;0;0;0;0;160;89;0;0;0;6;0;5;0;0;0;0;0;1;0
"Casein";0;27;0;20;0;0;0;0;0;0;0;25;0;4;0;0;2;243;0;483;44;7;8;0;207;0;20;17;44;682;30;30;0;0;76;0;197;10;9;5;0;0;81;11
"Schwein Speck und Schinken";0;0;70;0;0;0;0;0;0;0;0;14;0;10;0;0;77;3564;0;2739;604;24;10;0;1695;0;247;0;0;7131;828;0;0;0;878;0;3230;0;10;0;0;0;108;0
"Makrele geräuchert";0;0;64;0;20;344;0;0;0;0;0;26;0;44;0;0;2271;7889;0;7161;0;190;111;0;3920;0;1156;0;0;22359;7309;0;0;0;774;0;3745;0;158;0;29;242;2000;20
"Zungenblutwurst";0;0;70;6;0;0;0;0;0;0;0;66;0;0;0;0;195;11215;0;8447;1253;1;0;0;5227;0;772;0;0;22389;2733;6;0;0;2805;0;10248;0;0;0;0;0;342;0
"Lupinenmehl";0;0;0;0;0;97,5;0;0;0;0;0;8,4;0;0;0;0;267,4;4100;0;1100;305,4;0;0;0;781,2;0;35,7;0;0;7830;2600;0;0;0;332,7;0;3731,4;0;0;0;0;0;13,7;0
"Eiscreme";0;91;11;67;0;0;0;0;0;0;0;83;0;13;0;0;5;810;0;1624;148;24;24;0;699;0;67;59;150;2284;99;99;0;0;255;0;660;32;30;19;0;0;271;35
"Wurst";0;0;74;0;0;0;0;0;0;0;0;57;0;5;0;0;228;14527;0;11227;1628;19;15;0;6762;0;940;0;0;29191;3437;0;0;0;3972;0;13330;0;8;0;0;0;404;14
"Pastinake roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;68;86;0;0;0;62;0;5;0;0;352;255;0;0;0;3;0;24;0;0;0;0;0;3;0
"Olivenöl";0;0;1;0;95;0;0;0;0;0;0;0;0;381;0;0;286;71224;0;14662;4382;95;0;0;11426;0;952;0;0;95218;9332;0;0;0;2380;0;69986;0;0;0;95;0;190;0
"Schinken-Käsesülze";0;129;67;98;0;0;0;0;0;0;0;124;0;27;0;0;37;2859;0;3687;619;50;46;0;1856;0;220;83;212;6736;547;145;0;0;782;0;2476;47;50;25;0;0;441;55
"Kartoffelstärke Mehl";0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;25;20;0;0;0;16;0;1;0;0;79;53;1;0;0;4;0;1;0;0;0;0;0;1;0
"Mandeldrink gesüßt";0;0;0;0;0,2;0;0;0;0;0;0;0,1;0;1;0;0;0,9;700;0;100;0;0,1;0;0;78,3;0;5,8;0;0;1100;0,3;0;0;0;20;0;693,3;0;0;0;0,1;0;0,3;0
"Füllung für Kalbsbrust";0;151;117;114;1;3;0;0;0;0;0;166;0;37;0;0;114;8770;0;8551;1422;76;55;0;4745;0;664;97;248;18773;1870;170;0;0;2346;0;7809;56;68;30;0;0;694;95
"Blattspinat gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;41;67;0;0;0;33;0;6;0;0;268;201;0;0;0;6;0;20;0;0;0;0;0;2;0
"Erdbeere frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;23;80;0;0;0;18;0;1;0;0;320;233;0;0;0;5;0;63;0;0;0;0;0;0;0
"Tilsiter";0;942;95;707;0;0;0;0;0;0;0;864;0;131;0;0;52;8350;0;16806;1524;236;262;0;7225;0;681;602;1544;23585;1020;1047;0;0;2644;0;6806;340;314;183;0;0;2801;366
"Wiener Schnitzel (Zubereitung Großküche)";0;21;62;268;0;0;0;0;0;0;0;2009;0;48;0;0;4;1203;0;4986;942;20;21;0;985;0;99;35;56;6001;479;611;0;0;387;0;1055;343;17;4;0;0;853;20
"Graupenblutwurst";0;0;0;7;0;0;0;0;0;0;0;37;0;23;0;0;145;9215;0;7565;0;21;7;0;4563;0;595;0;0;0;0;0;0;0;2635;0;8448;0;4;0;0;0;275;20
"Schupfnudeln (Zubereitung Haushalt)";0;0;62;1;0;0;0;0;0;0;0;3;0;8;0;0;1;725;0;580;364;0;0;0;414;0;61;0;0;1653;349;1;0;0;136;0;663;0;0;0;0;0;18;0
"Kasseler Rippenspeer roh geräuchert";0;0;48;0;0;0;0;0;0;0;0;14;0;7;0;0;74;3845;0;3219;557;17;7;0;1941;0;251;0;0;7739;675;0;0;0;1105;0;3513;0;7;0;0;0;128;0
"Limette Fruchtsaft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273;0;307;336;0;0;0;281;0;44;0;0;1345;765;0;0;0;13;0;229;0;0;0;0;0;13;0
"Blumenkohl gedämpft";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;0;51;68;0;0;0;47;0;5;0;0;226;167;0;0;0;2;0;2;0;0;0;0;0;1;0
"Putenbrust gebraten, mit Soße (Zubereitung Großküche)";0;0;25;63;0;0;0;0;0;0;0;497;0;10;0;0;1;187;0;1114;103;0;10;0;201;0;24;5;5;1343;194;147;0;0;66;0;152;84;0;0;0;0;188;0
"Preßsäckel";0;0;75;0;0;0;0;0;0;0;0;44;0;14;0;0;208;11154;0;8555;1412;32;14;0;5231;0;728;0;0;22366;2657;0;0;0;2910;0;10204;0;14;0;0;0;310;0
"Vollkornbrot-Roggenvollkornbrot";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;6;106;0;135;0;0;0;0;128;0;3;0;0;0;0;0;0;0;4;0;97;0;0;0;0;0;1;0
"Sauermilchkäse (Harzer) Magerstufe";0;24;3;18;0;0;0;0;0;0;0;22;0;3;0;0;1;211;0;424;39;6;7;0;181;0;17;15;39;595;26;27;0;0;67;0;172;9;8;5;0;0;71;9
"Mandel süß Mehl";0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;40;35388;0;4704;2829;0;0;0;3676;0;286;0;0;52062;11970;0;0;0;983;0;35062;0;0;0;0;0;0;0
"Rettich weiß frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;33;30;0;0;0;29;0;0;0;0;120;72;0;0;0;4;0;15;0;0;0;0;0;0;0
